wheel station sector hw_x sw_x1 sw_x2 sw_x3 sw_dx13
1 1 10 -4.08081 -3.97041 -4.99390 -4.16904 0.19863
2 4 4 -0.44846 -0.43747 -0.44846 -0.44449 0.00702
-2 1 7 2.12425 2.32037 -12.06909 1.92780 0.39257
-1 3 2 -1.11529 -1.35270 -7.30560 -0.69706 -0.65563
2 1 3 6.12203 6.53192 -5.96985 5.63640 0.89552
2 4 6 -2.51841 -2.55987 -2.51841 -2.21616 -0.34371
1 3 9 -2.13836 -2.00687 -3.48816 -2.28777 0.28090
1 1 12 -8.58513 -8.96444 -4.77753 -8.11251 -0.85192
1 3 4 -1.84328 -2.04945 -1.13251 -1.61577 -0.43367
0 3 1 -1.22759 -1.11759 -1.34839 -1.35099 0.23340
0 4 10 -7.25677 -6.65527 -7.25677 -8.07480 1.41953
1 4 13 -3.33557 -3.19016 -3.33557 -3.52478 0.33463
-1 4 8 4.25283 4.18180 4.25283 4.48216 -0.30036
2 2 3 5.29384 5.32174 -5.57922 5.07608 0.24566
2 1 5 -4.08860 -3.97828 -5.06592 -4.14610 0.16782
1 2 9 0.29170 0.76653 -2.77557 -0.17312 0.93965
0 3 7 -3.93435 -4.13908 0.69942 -3.80066 -0.33842
-2 2 10 1.47472 1.55151 -10.54199 1.12429 0.42723
2 3 5 -4.40763 -4.60483 -5.91736 -4.15964 -0.44519
1 2 3 3.70851 3.97079 -1.88660 3.38221 0.58858
1 4 11 -11.09057 -10.84392 -11.09057 -11.33207 0.48814
2 2 1 -1.34018 -1.16474 -5.92957 -1.63034 0.46560
-2 1 4 -2.59274 -2.69913 -10.94299 -2.45586 -0.24326
-2 3 3 -3.77011 -3.83192 -9.78149 -3.62210 -0.20982
0 4 6 -8.46105 -8.70789 -8.46105 -8.37752 -0.33037
1 4 9 -2.59969 -2.15458 -2.59969 -3.26580 1.11122
1 2 11 -3.88484 -4.05075 -5.49042 -3.71880 -0.33195
2 2 7 -4.50386 -4.48359 -4.88586 -5.05424 0.57066
0 2 10 -2.00186 -1.92095 -2.45071 -2.19759 0.27664
1 2 4 -0.13329 -0.17525 -2.03278 -0.29869 0.12344
-1 4 14 5.17151 5.06287 5.17151 5.36102 -0.29816
1 1 4 -0.31582 -0.11715 -1.47186 -1.11691 0.99976
1 4 7 -4.34288 -4.51027 -4.34288 -4.38751 -0.12276
2 2 5 -2.07391 -2.47626 -7.27417 -1.70295 -0.77331
0 2 12 5.89130 6.10619 -1.43614 5.55811 0.54808
0 1 1 -0.93296 -0.96172 -2.14488 -1.02215 0.06042
-2 2 9 0.35830 0.02613 -9.53491 0.60462 -0.57849
1 1 6 -4.21621 -4.48356 -2.08893 -4.01845 -0.46510
1 4 5 -4.87708 -5.39558 -4.87708 -4.68299 -0.71259
-1 1 5 4.63133 4.80706 -7.00439 4.43843 0.36863
-2 3 4 -0.99693 -0.95097 -12.27783 -1.17945 0.22848
-1 2 12 5.29562 5.38923 -3.71918 5.10977 0.27947
-2 3 1 -1.85080 -1.69626 -8.35083 -1.92186 0.22560
1 4 3 -1.72672 -1.52964 -1.72672 -1.79086 0.26122
2 4 12 -5.94590 -5.92797 -5.94590 -5.96241 0.03443
0 4 11 -8.13246 -8.33914 -8.13246 -7.84991 -0.48923
-1 2 10 4.47760 4.42957 -2.14539 4.17330 0.25627
-1 3 3 -1.11462 -1.27281 -6.12091 -0.88089 -0.39191
-2 2 8 -0.38588 -0.85012 -9.30054 -0.08039 -0.76972
1 4 1 -4.58496 -4.64203 -4.58496 -4.38133 -0.26070
-1 4 5 6.48702 6.42051 6.48702 6.61400 -0.19349
0 2 2 6.38344 6.71082 1.57516 5.11477 1.59605
0 4 9 2.36767 1.01131 2.36767 4.24762 -3.23631
2 3 6 -5.79679 -6.18296 -4.17419 -5.24996 -0.93300
-1 2 8 2.21109 1.83788 -6.42792 2.49378 -0.65590
-2 3 5 4.63487 4.81925 -9.85168 4.07114 0.74811
-2 4 4 1.18027 1.18057 1.18027 1.08887 0.09171
-1 1 10 3.18317 3.18813 -2.06055 3.06030 0.12783
-1 3 5 5.24802 5.18644 -8.18573 5.28602 -0.09958
-1 2 6 5.19567 5.45743 -3.50830 4.98476 0.47267
-1 3 7 7.44745 7.50431 -5.33539 7.41062 0.09369
0 4 4 4.66660 4.24545 4.66660 5.20950 -0.96405
-2 4 6 5.60217 5.53136 5.60217 5.78467 -0.25332
2 3 1 -0.01785 0.01122 -7.61536 -0.02764 0.03885
0 1 9 -1.56268 -2.06207 0.10644 -1.04080 -1.02127
0 2 6 -7.86006 -8.06296 0.25891 -8.10330 0.04034
0 4 13 4.32358 4.13467 4.32358 4.52530 -0.39062
-2 2 4 -2.59296 -2.56962 -12.50610 -2.73306 0.16344
-1 3 9 4.32473 4.14092 -4.43268 4.48530 -0.34438
-2 1 2 -6.08330 -6.43158 -10.90210 -5.80370 -0.62788
-1 4 4 5.11246 5.13123 5.11246 5.05966 0.07156
0 4 3 1.12041 1.41157 1.12041 0.83264 0.57893
2 3 7 -3.80552 -3.87167 -6.02478 -3.76726 -0.10441
-1 2 2 -2.64095 -3.22433 -8.83759 -2.25330 -0.97104
-1 3 11 6.87780 6.92410 -5.06836 6.95232 -0.02822
-2 2 1 -3.60817 -3.70703 -7.21130 -3.45732 -0.24971
2 4 9 -2.15419 -1.74103 -2.15419 -2.76255 1.02153
-2 4 2 -1.24317 -1.42941 -1.24317 -1.26695 -0.16246
2 3 9 -2.85153 -2.76299 -7.17896 -3.03488 0.27190
-1 1 11 7.59380 7.82586 -5.58197 7.37675 0.44911
0 4 1 2.07108 2.24892 2.07108 2.21024 0.03868
-1 3 6 10.55868 10.63129 -6.68610 10.35972 0.27157
1 2 7 -3.17129 -3.03873 -0.73120 -3.52690 0.48817
-1 1 6 4.94616 4.99068 -7.19360 4.91025 0.08043
0 2 4 0.12043 -0.11848 -1.08038 0.10265 -0.22114
2 4 11 -8.06466 -8.72249 -8.06466 -7.26623 -1.45626
-2 4 12 1.24702 1.33913 1.24702 0.55203 0.78710
2 3 11 -6.23482 -6.55057 -6.29944 -5.87217 -0.67840
2 3 12 -4.11331 -4.46991 -6.89697 -3.62073 -0.84919
0 4 7 -4.73930 -4.85298 -4.73930 -4.34738 -0.50560
0 2 8 0.01875 -0.48215 -14.06588 0.55117 -1.03332
-1 4 11 8.44360 8.07450 8.44360 8.94733 -0.87283
-1 1 4 -0.49797 -0.51956 -8.45795 -0.45044 -0.06912
2 4 13 -0.54581 -0.40222 -0.54581 -0.76324 0.36102
-2 4 14 1.08093 0.86395 1.08093 1.31287 -0.44891
-1 4 7 7.44080 7.50847 7.44080 7.53815 -0.02968
0 3 10 -5.65001 -5.78558 -0.18411 -5.60497 -0.18061
0 3 5 7.80883 7.87608 -4.23825 7.59064 0.28545
0 4 5 7.77016 7.82800 7.77016 7.75979 0.06821
1 3 2 2.42454 2.72425 -2.11914 1.96953 0.75473
-2 2 6 6.01996 6.56303 -12.89978 5.20203 1.36100
-2 1 10 0.97069 0.85751 -9.84192 1.10950 -0.25200
0 3 9 1.58337 1.39640 -0.88436 2.23953 -0.84313
-2 4 8 1.77991 1.48970 1.77991 2.24164 -0.75194
0 1 3 7.35363 7.75240 0.58975 6.90880 0.84360
0 3 8 0.11746 -0.33508 -0.59267 0.63162 -0.96670
-1 1 8 0.23120 -0.02286 -5.72662 0.49202 -0.51488
-2 3 7 4.91922 5.11232 -10.48950 4.73906 0.37327
-2 1 8 -2.47734 -2.77131 -21.74133 -2.13902 -0.63228
2 4 1 -1.91734 -1.99173 -1.91734 -1.71379 -0.27794
-2 4 10 2.92221 2.94540 2.92221 2.91901 0.02640
0 1 5 6.34343 6.52502 -2.18891 5.86599 0.65904
2 1 10 -5.84084 -5.88757 -8.92273 -5.74837 -0.13920
1 1 2 3.54494 4.12317 -4.28925 2.88221 1.24097
1 1 9 -0.24415 -0.04077 -2.43805 -0.42731 0.38654
-1 4 10 5.49942 5.25665 5.49942 5.62210 -0.36545
2 4 3 2.07497 2.27182 2.07497 1.80190 0.46991
2 2 10 -4.29914 -4.02195 -9.22668 -4.55931 0.53736
-1 4 6 6.81456 6.69660 6.81456 7.11584 -0.41924
0 3 12 6.76778 6.94394 1.84106 6.48285 0.46109
1 2 1 -2.16812 -2.06474 -7.56226 -2.82654 0.76180
1 3 12 -7.05354 -7.27784 -3.90991 -6.85441 -0.42343
1 1 11 -7.56456 -7.85684 -4.58984 -7.28258 -0.57427
-1 2 5 3.81298 3.86907 -5.04913 3.48400 0.38507
-2 1 12 2.23692 2.64771 -10.03906 1.86437 0.78335
2 4 5 -3.68815 -3.62138 -3.68815 -3.75284 0.13146
2 2 8 0.25336 0.89251 -6.30554 -0.29459 1.18710
0 3 2 3.99678 4.32152 2.34103 3.58823 0.73328
-1 1 9 -0.04054 -0.28749 -4.19189 0.11606 -0.40355
-2 3 8 1.70483 1.39120 -10.20569 1.94664 -0.55544
1 4 14 -7.20032 -6.82297 -7.20032 -7.79907 0.97610
-2 2 7 3.49371 3.67420 -13.01880 3.10434 0.56986
2 4 7 -5.08240 -5.36407 -5.08240 -4.69307 -0.67101
2 1 4 -0.41241 -0.32482 -5.39673 -0.46368 0.13885
1 3 8 -0.76872 -0.64544 -3.07159 -1.01515 0.36972
1 4 12 -8.55685 -8.53601 -8.55685 -8.49112 -0.04489
2 2 12 -3.69987 -3.89002 -13.19641 -3.40421 -0.48580
-1 4 1 3.39851 3.40050 3.39851 3.61977 -0.21927
0 3 6 -7.79795 -8.05363 -10.43298 -7.56024 -0.49340
1 2 2 3.57435 3.72947 -2.34039 3.20530 0.52417
2 3 2 4.59626 4.93979 -5.43152 4.14094 0.79885
1 1 1 -1.44672 -1.36101 -3.71582 -1.46622 0.10521
-1 2 4 -0.76387 -0.79863 -7.60040 -0.80652 0.00790
1 4 10 -8.58643 -8.75366 -8.58643 -8.34381 -0.40985
2 2 2 4.99518 5.42581 -6.00342 4.70479 0.72102
0 2 9 0.00841 -0.45153 -13.11548 0.23618 -0.68771
0 3 4 1.51930 1.51976 -3.96830 1.60730 -0.08755
-2 3 9 1.98574 2.01832 -5.04578 1.94797 0.07036
1 1 3 4.53877 4.77061 -0.28625 4.41005 0.36056
1 4 8 -4.67307 -4.52522 -4.67307 -4.09364 -0.43158
-1 1 2 -3.74154 -4.10352 -6.76666 -3.30237 -0.80116
0 2 11 -4.43862 -4.83744 -1.32381 -4.01444 -0.82300
0 4 12 6.88576 6.89811 6.88576 6.87440 0.02371
2 3 3 6.47835 6.62521 -6.22742 6.35276 0.27245
1 1 5 -4.44711 -4.52348 -3.44574 -4.35033 -0.17315
2 1 1 -1.60583 -1.44993 -3.74756 -1.77593 0.32600
1 4 6 -6.79293 -6.89469 -6.79293 -6.56476 -0.32992
2 2 6 -4.11888 -4.30574 -5.36194 -3.92398 -0.38177

