wheel station sector hw_x sw_x1 sw_x2 sw_x3 sw_dx13
1 1 10 -4.08081 -3.81908 -4.99390 -4.32281 0.50373
2 4 4 -0.44846 -0.12634 -0.44846 -0.87418 0.74783
-2 1 7 2.12425 1.61678 -12.06909 2.64275 -1.02596
-1 3 2 -1.11529 -1.14458 -7.30560 -0.98202 -0.16256
2 1 3 6.12203 5.87069 -5.96985 6.30828 -0.43758
2 4 6 -2.51841 -2.31265 -2.51841 -2.55714 0.24448
1 3 9 -2.13836 -1.59867 -3.48816 -2.84798 1.24931
1 1 12 -8.58513 -7.67501 -4.77753 -9.42287 1.74786
1 3 4 -1.84328 -1.11637 -1.13251 -2.89583 1.77946
0 3 1 -1.22759 -2.03024 -1.34839 -0.09895 -1.93129
0 4 10 -7.25677 -9.37943 -7.25677 -4.31290 -5.06653
1 4 13 -3.33557 -3.69034 -3.33557 -2.83417 -0.85617
-1 4 8 4.25283 3.66768 4.25283 5.19209 -1.52441
2 2 3 5.29384 6.54880 -5.57922 3.83729 2.71151
2 1 5 -4.08860 -5.22374 -5.06592 -2.88069 -2.34305
1 2 9 0.29170 -0.57533 -2.77557 1.18131 -1.75665
0 3 7 -3.93435 -3.53893 0.69942 -4.62399 1.08505
-2 2 10 1.47472 1.15559 -10.54199 1.52391 -0.36833
2 3 5 -4.40763 -4.39430 -5.91736 -4.44838 0.05409
1 2 3 3.70851 4.75929 -1.88660 2.58606 2.17322
1 4 11 -11.09057 -12.39025 -11.09057 -9.19702 -3.19322
2 2 1 -1.34018 -0.85344 -5.92957 -1.94458 1.09114
-2 1 4 -2.59274 -2.18197 -10.94299 -2.98138 0.79941
-2 3 3 -3.77011 -4.39134 -9.78149 -2.85486 -1.53647
0 4 6 -8.46105 -8.16833 -8.46105 -9.12273 0.95440
1 4 9 -2.59969 -2.35937 -2.59969 -2.98312 0.62376
1 2 11 -3.88484 -4.08684 -5.49042 -3.68216 -0.40468
2 2 7 -4.50386 -5.10235 -4.88586 -4.42968 -0.67266
0 2 10 -2.00186 -2.01763 -2.45071 -2.10001 0.08238
1 2 4 -0.13329 1.17792 -2.03278 -1.66454 2.84246
-1 4 14 5.17151 5.76767 5.17151 4.38766 1.38000
1 1 4 -0.31582 -0.99022 -1.47186 -0.22972 -0.76050
1 4 7 -4.34288 -3.54836 -4.34288 -5.71579 2.16743
2 2 5 -2.07391 -0.35305 -7.27417 -3.84595 3.49291
0 2 12 5.89130 7.10502 -1.43614 4.54984 2.55518
0 1 1 -0.93296 -1.24516 -2.14488 -0.73410 -0.51105
-2 2 9 0.35830 -0.81775 -9.53491 1.45615 -2.27390
1 1 6 -4.21621 -4.15306 -2.08893 -4.35413 0.20107
1 4 5 -4.87708 -2.85445 -4.87708 -8.19182 5.33738
-1 1 5 4.63133 4.79816 -7.00439 4.44717 0.35099
-2 3 4 -0.99693 -0.50959 -12.27783 -1.78497 1.27539
-1 2 12 5.29562 6.13312 -3.71918 4.35876 1.77436
-2 3 1 -1.85080 -2.72535 -8.35083 -0.51010 -2.21525
1 4 3 -1.72672 -1.54959 -1.72672 -1.76326 0.21368
2 4 12 -5.94590 -6.38520 -5.94590 -5.33129 -1.05391
0 4 11 -8.13246 -7.90001 -8.13246 -8.45607 0.55607
-1 2 10 4.47760 3.87007 -2.14539 4.73804 -0.86798
-1 3 3 -1.11462 -1.44477 -6.12091 -0.64492 -0.79985
-2 2 8 -0.38588 -0.37053 -9.30054 -0.56461 0.19408
1 4 1 -4.58496 -4.34013 -4.58496 -4.79820 0.45807
-1 4 5 6.48702 6.75683 6.48702 6.14943 0.60740
0 2 2 6.38344 6.85031 1.57516 4.97376 1.87654
0 4 9 2.36767 6.54599 2.36767 -3.39547 9.94146
2 3 6 -5.79679 -4.53613 -4.17419 -7.50880 2.97267
-1 2 8 2.21109 2.46049 -6.42792 1.86528 0.59521
-2 3 5 4.63487 5.06643 -9.85168 3.73210 1.33433
-2 4 4 1.18027 1.80786 1.18027 0.22247 1.58539
-1 1 10 3.18317 3.46630 -2.06055 2.77767 0.68863
-1 3 5 5.24802 6.47320 -8.18573 3.52077 2.95243
-1 2 6 5.19567 5.61781 -3.50830 4.82286 0.79495
-1 3 7 7.44745 7.25224 -5.33539 7.75644 -0.50421
0 4 4 4.66660 6.15891 4.66660 2.56729 3.59161
-2 4 6 5.60217 6.18545 5.60217 4.88116 1.30429
2 3 1 -0.01785 0.26003 -7.61536 -0.36898 0.62901
0 1 9 -1.56268 -1.57599 0.10644 -1.53481 -0.04118
