label wheel station sector signx signy signz r phi z
MB+1_3_08 1 3 8 -1 1 -1 6182.690 -2.5822700 2677.500
MB+1_3_09 1 3 9 -1 1 -1 6182.690 -2.0586800 2677.500
MB+1_3_10 1 3 10 -1 1 -1 6182.690 -1.5350800 2677.500
MB+1_3_11 1 3 11 -1 1 -1 6182.690 -1.0114800 2677.500
MB+1_3_12 1 3 12 -1 1 -1 6182.690 -0.4878790 2677.500
MB+1_4_01 1 4 1 -1 1 -1 7264.250 -0.1310070 2677.500
MB+1_4_02 1 4 2 -1 1 -1 7264.250 0.3925910 2677.500
MB+1_4_03 1 4 3 -1 1 -1 7264.250 0.9161900 2677.500
MB+1_4_04 1 4 4 -1 1 -1 7379.220 1.3511900 2872.500
MB+1_4_05 1 4 5 -1 1 -1 7264.250 2.2254000 2677.500
MB+1_4_06 1 4 6 -1 1 -1 7264.250 2.7490000 2677.500
MB+1_4_07 1 4 7 -1 1 -1 7264.250 -3.0105900 2677.500
MB+1_4_08 1 4 8 -1 1 -1 7253.760 -2.4984600 2677.500
MB+1_4_09 1 4 9 -1 1 -1 7226.740 -2.0861200 2677.500
MB+1_4_10 1 4 10 -1 1 -1 7330.720 -1.7584700 2677.500
MB+1_4_11 1 4 11 -1 1 -1 7226.740 -1.0554800 2677.500
MB+1_4_12 1 4 12 -1 1 -1 7253.760 -0.6431320 2677.500
MB+1_4_13 1 4 13 -1 1 -1 7379.220 1.7904000 2872.500
MB+1_4_14 1 4 14 -1 1 -1 7330.720 -1.3831300 2677.500
MB+2_1_01 2 1 1 -1 1 -1 4329.460 0.0904811 5333.500
MB+2_1_02 2 1 2 -1 1 -1 4329.460 0.6140800 5333.500
MB+2_1_03 2 1 3 -1 1 -1 4329.460 1.1376800 5333.500
MB+2_1_04 2 1 4 -1 1 -1 4329.460 1.6612800 5333.500
MB+2_1_05 2 1 5 -1 1 -1 4329.460 2.1848800 5333.500
MB+2_1_06 2 1 6 -1 1 -1 4329.460 2.7084700 5333.500
MB+2_1_07 2 1 7 -1 1 -1 4329.460 -3.0511100 5333.500
MB+2_1_08 2 1 8 -1 1 -1 4329.460 -2.5275100 5333.500
MB+2_1_09 2 1 9 -1 1 -1 4329.460 -2.0039100 5333.500
MB+2_1_10 2 1 10 -1 1 -1 4329.460 -1.4803200 5333.500
MB+2_1_11 2 1 11 -1 1 -1 4329.460 -0.9567160 5333.500
MB+2_1_12 2 1 12 -1 1 -1 4329.460 -0.4331180 5333.500
MB+2_2_01 2 2 1 -1 1 -1 5129.230 -0.0417923 5333.500
MB+2_2_02 2 2 2 -1 1 -1 5129.230 0.4818060 5333.500
MB+2_2_03 2 2 3 -1 1 -1 5129.230 1.0054100 5333.500
MB+2_2_04 2 2 4 -1 1 -1 5129.230 1.5290000 5333.500
MB+2_2_05 2 2 5 -1 1 -1 5129.230 2.0526000 5333.500
MB+2_2_06 2 2 6 -1 1 -1 5129.230 2.5762000 5333.500
MB+2_2_07 2 2 7 -1 1 -1 5129.230 3.0998000 5333.500
MB+2_2_08 2 2 8 -1 1 -1 5129.230 -2.6597900 5333.500
MB+2_2_09 2 2 9 -1 1 -1 5129.230 -2.1361900 5333.500
MB+2_2_10 2 2 10 -1 1 -1 5129.230 -1.6125900 5333.500
MB+2_2_11 2 2 11 -1 1 -1 5129.230 -1.0889900 5333.500
MB+2_2_12 2 2 12 -1 1 -1 5129.230 -0.5653910 5333.500
MB+2_3_01 2 3 1 -1 1 -1 6182.690 0.0357202 5333.500
MB+2_3_02 2 3 2 -1 1 -1 6182.690 0.5593190 5333.500
MB+2_3_03 2 3 3 -1 1 -1 6182.690 1.0829200 5333.500
MB+2_3_04 2 3 4 -1 1 -1 6182.690 1.6065200 5333.500
MB+2_3_05 2 3 5 -1 1 -1 6182.690 2.1301200 5333.500
MB+2_3_06 2 3 6 -1 1 -1 6182.690 2.6537100 5333.500
MB+2_3_07 2 3 7 -1 1 -1 6182.690 -3.1058700 5333.500
MB+2_3_08 2 3 8 -1 1 -1 6182.690 -2.5822700 5333.500
MB+2_3_09 2 3 9 -1 1 -1 6182.690 -2.0586800 5333.500
MB+2_3_10 2 3 10 -1 1 -1 6182.690 -1.5350800 5333.500
MB+2_3_11 2 3 11 -1 1 -1 6182.690 -1.0114800 5333.500
MB+2_3_12 2 3 12 -1 1 -1 6182.690 -0.4878790 5333.500
MB+2_4_01 2 4 1 -1 1 -1 7264.250 -0.1310070 5333.500
MB+2_4_02 2 4 2 -1 1 -1 7264.250 0.3925910 5333.500
MB+2_4_03 2 4 3 -1 1 -1 7264.250 0.9161900 5333.500
MB+2_4_04 2 4 4 -1 1 -1 7379.220 1.3511900 5333.500
MB+2_4_05 2 4 5 -1 1 -1 7264.250 2.2254000 5333.500
MB+2_4_06 2 4 6 -1 1 -1 7264.250 2.7490000 5333.500
MB+2_4_07 2 4 7 -1 1 -1 7264.250 -3.0105900 5333.500
MB+2_4_08 2 4 8 -1 1 -1 7253.760 -2.4984600 5333.500
MB+2_4_09 2 4 9 -1 1 -1 7226.740 -2.0861200 5333.500
MB+2_4_10 2 4 10 -1 1 -1 7330.720 -1.7584700 5333.500
MB+2_4_11 2 4 11 -1 1 -1 7226.740 -1.0554800 5333.500
MB+2_4_12 2 4 12 -1 1 -1 7253.760 -0.6431320 5333.500
MB+2_4_13 2 4 13 -1 1 -1 7379.220 1.7904000 5333.500
MB+2_4_14 2 4 14 -1 1 -1 7330.720 -1.3831300 5333.500
MB-1_1_01 -1 1 1 1 -1 -1 4329.460 0.0904811 -2677.500
MB-1_1_02 -1 1 2 1 -1 -1 4329.460 0.6140800 -2677.500
MB-1_1_03 -1 1 3 1 -1 -1 4329.460 1.1376800 -2872.500
MB-1_1_04 -1 1 4 1 -1 -1 4329.460 1.6612800 -2677.500
MB-1_1_05 -1 1 5 1 -1 -1 4329.460 2.1848800 -2677.500
MB-1_1_06 -1 1 6 1 -1 -1 4329.460 2.7084700 -2677.500
MB-1_1_07 -1 1 7 1 -1 -1 4329.460 -3.0511100 -2677.500
MB-1_1_08 -1 1 8 1 -1 -1 4329.460 -2.5275100 -2677.500
MB-1_1_09 -1 1 9 1 -1 -1 4329.460 -2.0039100 -2677.500
MB-1_1_10 -1 1 10 1 -1 -1 4329.460 -1.4803200 -2677.500
MB-1_1_11 -1 1 11 1 -1 -1 4329.460 -0.9567160 -2677.500
MB-1_1_12 -1 1 12 1 -1 -1 4329.460 -0.4331180 -2677.500
MB-1_2_01 -1 2 1 1 -1 -1 5129.230 -0.0417923 -2677.500
MB-1_2_02 -1 2 2 1 -1 -1 5129.230 0.4818060 -2677.500
MB-1_2_03 -1 2 3 1 -1 -1 5129.230 1.0054100 -2872.500
MB-1_2_04 -1 2 4 1 -1 -1 5129.230 1.5290000 -2677.500
MB-1_2_05 -1 2 5 1 -1 -1 5129.230 2.0526000 -2677.500
MB-1_2_06 -1 2 6 1 -1 -1 5129.230 2.5762000 -2677.500
MB-1_2_07 -1 2 7 1 -1 -1 5129.230 3.0998000 -2677.500
MB-1_2_08 -1 2 8 1 -1 -1 5129.230 -2.6597900 -2677.500
MB-1_2_09 -1 2 9 1 -1 -1 5129.230 -2.1361900 -2677.500
MB-1_2_10 -1 2 10 1 -1 -1 5129.230 -1.6125900 -2677.500
MB-1_2_11 -1 2 11 1 -1 -1 5129.230 -1.0889900 -2677.500
MB-1_2_12 -1 2 12 1 -1 -1 5129.230 -0.5653910 -2677.500
MB-1_3_01 -1 3 1 1 -1 -1 6182.690 0.0357202 -2677.500
MB-1_3_02 -1 3 2 1 -1 -1 6182.690 0.5593190 -2677.500
MB-1_3_03 -1 3 3 1 -1 -1 6182.690 1.0829200 -2872.500
MB-1_3_04 -1 3 4 1 -1 -1 6182.690 1.6065200 -2677.500
MB-1_3_05 -1 3 5 1 -1 -1 6182.690 2.1301200 -2677.500
MB-1_3_06 -1 3 6 1 -1 -1 6182.690 2.6537100 -2677.500
MB-1_3_07 -1 3 7 1 -1 -1 6182.690 -3.1058700 -2677.500
MB-1_3_08 -1 3 8 1 -1 -1 6182.690 -2.5822700 -2677.500
MB-1_3_09 -1 3 9 1 -1 -1 6182.690 -2.0586800 -2677.500
MB-1_3_10 -1 3 10 1 -1 -1 6182.690 -1.5350800 -2677.500
MB-1_3_11 -1 3 11 1 -1 -1 6182.690 -1.0114800 -2677.500
MB-1_3_12 -1 3 12 1 -1 -1 6182.690 -0.4878790 -2677.500
MB-1_4_01 -1 4 1 1 -1 -1 7264.250 -0.1310070 -2677.500
MB-1_4_02 -1 4 2 1 -1 -1 7264.250 0.3925910 -2677.500
MB-1_4_03 -1 4 3 1 -1 -1 7264.250 0.9161900 -2872.500
MB-1_4_04 -1 4 4 1 -1 -1 7379.220 1.3511900 -2677.500
