wheel station sector sw_phiz sw_phiz1 sw_phiz2 sw_phiz3 sw_dphiz1 sw_dphiz2 sw_dphiz3 sw_db
0 2 5 0.06321 0.07778 0.27183 -0.01997 0.01457 0.20862 -0.08318 0.09775
0 4 8 -0.15734 -0.20925 -0.15734 -0.04832 -0.05191 0.00000 0.10902 -0.16093
-1 1 12 0.49449 0.49192 1.07748 0.53243 -0.00256 0.58300 0.03794 -0.04051
-1 2 7 -0.70521 -0.66476 0.02548 -0.82872 0.04045 0.73069 -0.12351 0.16396
-2 3 11 -0.11027 -0.09242 -0.31034 -0.07627 0.01786 -0.20007 0.03400 -0.01614
-2 3 6 -0.27757 -0.28262 -0.63130 -0.26575 -0.00505 -0.35373 0.01183 -0.01687
-1 4 9 0.61555 0.63566 0.61555 0.65288 0.02010 0.00000 0.03733 -0.01722
-2 4 7 0.06804 0.02748 0.06804 0.15494 -0.04056 0.00000 0.08690 -0.12745
0 1 8 -0.42741 -0.41078 -0.69146 -0.34598 0.01663 -0.26406 0.08142 -0.06480
2 2 4 0.27987 0.20647 2.28115 0.26168 -0.07339 2.00129 -0.01818 -0.05521
0 2 7 0.38194 0.44104 0.00563 0.15711 0.05910 -0.37631 -0.22483 0.28393
0 4 14 0.35554 0.24006 0.35554 0.44383 -0.11548 0.00000 0.08830 -0.20378
-2 2 5 -0.16911 -0.15511 0.11091 -0.27032 0.01401 0.28003 -0.10121 0.11521
-1 3 8 -0.82397 -0.84268 -1.36352 -0.76963 -0.01871 -0.53955 0.05434 -0.07305
-2 4 1 0.25248 0.25997 0.25248 0.30704 0.00749 0.00000 0.05456 -0.04706
0 1 10 -0.84070 -0.83922 -0.89074 -0.76520 0.00147 -0.05004 0.07549 -0.07402
-1 4 2 0.53437 0.46163 0.53437 0.60917 -0.07274 0.00000 0.07480 -0.14754
-1 2 3 -0.30321 -0.34792 0.65925 -0.48711 -0.04471 0.96245 -0.18390 0.13919
-2 3 10 0.40740 0.41520 -2.33356 0.37922 0.00780 -2.74095 -0.02818 0.03598
-1 1 3 0.59343 0.48702 0.26811 0.27540 -0.10641 -0.32532 -0.31804 0.21162
2 1 7 -0.32623 -0.30004 0.28758 -0.35063 0.02619 0.61382 -0.02440 0.05059
-2 4 3 -0.07270 -0.06445 -0.07270 -0.07999 0.00825 0.00000 -0.00729 0.01554
2 1 6 -0.32427 -0.30842 1.86072 -0.22354 0.01585 2.18499 0.10073 -0.08489
0 1 12 0.55878 0.56004 0.56021 0.71018 0.00127 0.00143 0.15141 -0.15014
0 4 2 0.28795 0.30738 0.28795 0.27238 0.01943 0.00000 -0.01557 0.03500
1 3 7 -0.48125 -0.47237 -1.38753 -0.52492 0.00888 -0.90629 -0.04367 0.05255
-1 2 1 0.02778 0.05985 1.06329 -0.03831 0.03207 1.03551 -0.06609 0.09816
-2 3 12 0.60213 0.59577 -0.63279 0.58591 -0.00636 -1.23492 -0.01622 0.00986
-1 3 12 -0.14179 -0.11767 -0.30844 -0.07789 0.02412 -0.16665 0.06390 -0.03978
-2 1 1 0.76683 0.77562 2.09712 0.74370 0.00879 1.33029 -0.02313 0.03192
2 4 8 -0.72391 -0.71529 -0.72391 -0.61580 0.00862 0.00000 0.10811 -0.09949
-2 4 13 1.76785 1.78561 1.76785 1.88645 0.01776 0.00000 0.11860 -0.10084
-1 1 1 0.45295 0.45309 0.99092 0.56499 0.00014 0.53797 0.11204 -0.11190
2 3 10 -0.13789 -0.15558 -0.32639 -0.14897 -0.01770 -0.18851 -0.01109 -0.00661
1 3 10 -0.40533 -0.36836 -1.22980 -0.38924 0.03697 -0.82448 0.01608 0.02088
1 3 5 -0.51619 -0.49483 -0.57470 -0.55332 0.02136 -0.05851 -0.03713 0.05849
-1 1 7 -0.86201 -0.86601 -1.30003 -0.96570 -0.00400 -0.43802 -0.10370 0.09970
1 3 6 -0.18136 -0.15732 -0.09261 -0.19269 0.02404 0.08875 -0.01133 0.03537
2 3 4 -0.69934 -0.70436 -0.00020 -0.69341 -0.00502 0.69914 0.00593 -0.01095
-1 4 13 0.21105 0.22245 0.21105 0.07119 0.01140 0.00000 -0.13986 0.15126
1 3 3 0.01709 0.04257 -0.54364 0.04442 0.02548 -0.56074 0.02733 -0.00185
2 4 10 -0.49798 -0.50108 -0.49798 -0.61008 -0.00310 0.00000 -0.11210 0.10899
-2 1 5 0.67758 0.66159 1.50930 0.72298 -0.01599 0.83173 0.04541 -0.06139
1 4 2 -0.93100 -0.89981 -0.93100 -0.96443 0.03118 0.00000 -0.03344 0.06462
-2 4 9 -1.18860 -1.19044 -1.18860 -1.14752 -0.00183 0.00000 0.04108 -0.04291
0 3 3 0.31518 0.29021 0.28318 0.41000 -0.02496 -0.03199 0.09482 -0.11979
0 1 2 0.36008 0.37202 0.68196 0.47384 0.01194 0.32188 0.11375 -0.10182
0 3 11 -0.17669 -0.18614 -0.29741 -0.16235 -0.00945 -0.12072 0.01434 -0.02379
-2 2 12 0.43002 0.41843 1.74422 0.46215 -0.01159 1.31419 0.03212 -0.04372
1 3 1 0.14087 0.07472 -0.12304 0.11071 -0.06615 -0.26391 -0.03016 -0.03599
-2 1 11 0.30800 0.29014 -1.64482 0.51665 -0.01786 -1.95282 0.20865 -0.22651
2 4 14 -0.75909 -0.84038 -0.75909 -0.85275 -0.08128 0.00000 -0.09366 0.01238
-2 4 11 0.02198 0.02863 0.02198 0.04861 0.00666 0.00000 0.02663 -0.01997
-2 1 6 0.04295 0.04094 -1.38441 0.06638 -0.00201 -1.42736 0.02342 -0.02543
0 1 4 0.41723 0.41412 0.27949 0.41018 -0.00311 -0.13774 -0.00705 0.00395
-1 3 1 0.28751 0.29861 0.69068 0.25522 0.01110 0.40316 -0.03229 0.04338
-2 1 9 1.90945 1.89819 1.41232 2.02627 -0.01126 -0.49713 0.11682 -0.12808
2 2 11 0.24844 0.32277 2.06341 0.09450 0.07433 1.81497 -0.15394 0.22827
0 1 6 -0.05368 -0.01896 -0.23849 -0.06358 0.03471 -0.18481 -0.00990 0.04461
2 1 11 0.23011 0.23335 1.06758 0.25671 0.00324 0.83748 0.02661 -0.02336
-1 4 12 0.45221 0.51982 0.45221 0.38521 0.06761 0.00000 -0.06700 0.13461
1 1 8 0.11025 0.10866 0.36188 0.16051 -0.00159 0.25163 0.05026 -0.05185
1 2 12 0.15964 0.07466 0.17440 0.14076 -0.08498 0.01476 -0.01888 -0.06610
2 4 2 0.18105 0.18094 0.18105 0.17821 -0.00011 0.00000 -0.00284 0.00274
2 2 9 -0.28472 -0.20610 0.19545 -0.40228 0.07862 0.48017 -0.11756 0.19619
