wheel station sector hw_phiz hw_phiz1 hw_phiz2 hw_phiz3 hw_dphiz1 hw_dphiz2 hw_dphiz3 hw_db
1 3 3 0.01709 0.01709 -0.01132 0.07937 0.00000 0.01982 0.06228 -0.06228
2 4 10 -0.49798 -0.49798 -0.49798 -0.61436 0.00000 0.00000 -0.11638 0.11638
-2 1 5 0.67758 0.67758 0.66470 0.70674 0.00000 0.67928 0.02916 -0.02916
1 4 2 -0.93100 -0.93100 -0.93100 -0.92137 0.00000 0.00000 0.00962 -0.00962
-2 4 9 -1.18860 -1.18860 -1.18860 -1.15005 0.00000 0.00000 0.03855 -0.03855
0 3 3 0.31518 0.31518 0.27179 0.37575 0.00000 0.30207 0.06058 -0.06058
0 1 2 0.36008 0.36008 0.53759 0.48597 0.00000 0.60053 0.12588 -0.12588
0 3 11 -0.17669 -0.17669 -0.26179 -0.17531 0.00000 -0.26110 0.00138 -0.00138
-2 2 12 0.43002 0.43002 1.02058 0.45044 0.00000 1.03080 0.02042 -0.02042
1 3 1 0.14087 0.14087 -0.17081 0.01996 0.00000 -0.23126 -0.12091 0.12091
-2 1 11 0.30800 0.30800 0.38553 0.49849 0.00000 0.48078 0.19050 -0.19050
2 4 14 -0.75909 -0.75909 -0.75909 -0.96500 0.00000 0.00000 -0.20591 0.20591
-2 4 11 0.02198 0.02198 0.02198 0.05780 0.00000 0.00000 0.03582 -0.03582
-2 1 6 0.04295 0.04295 0.06592 0.06433 0.00000 0.07662 0.02138 -0.02138
0 1 4 0.41723 0.41723 0.52483 0.40702 0.00000 0.51973 -0.01021 0.01021
-1 3 1 0.28751 0.28751 0.19803 0.27045 0.00000 0.18950 -0.01707 0.01707
-2 1 9 1.90945 1.90945 1.99053 2.01483 0.00000 2.04322 0.10538 -0.10538
2 2 11 0.24844 0.24844 -0.49787 0.16952 0.00000 -0.53733 -0.07892 0.07892
0 1 6 -0.05368 -0.05368 0.03230 -0.02830 0.00000 0.04499 0.02537 -0.02537
2 1 11 0.23011 0.23011 0.37175 0.26001 0.00000 0.38670 0.02990 -0.02990
-1 4 12 0.45221 0.45221 0.45221 0.47858 0.00000 0.00000 0.02637 -0.02637
1 1 8 0.11025 0.11025 0.20193 0.15890 0.00000 0.22625 0.04865 -0.04865
1 2 12 0.15964 0.15964 0.11870 0.05498 0.00000 0.06638 -0.10465 0.10465
2 4 2 0.18105 0.18105 0.18105 0.17806 0.00000 0.00000 -0.00299 0.00299
2 2 9 -0.28472 -0.28472 -0.28234 -0.32292 0.00000 -0.30144 -0.03820 0.03820
1 2 6 -0.15646 -0.15646 -0.17396 -0.23035 0.00000 -0.21091 -0.07389 0.07389
2 1 9 0.23746 0.23746 0.32274 0.26598 0.00000 0.33700 0.02852 -0.02852
-1 2 11 0.12612 0.12612 0.97030 0.03461 0.00000 0.92454 -0.09152 0.09152
1 3 11 0.02922 0.02922 0.03881 0.03849 0.00000 0.04345 0.00927 -0.00927
1 1 10 0.38578 0.38578 0.44152 0.48837 0.00000 0.49282 0.10259 -0.10259
2 4 4 -0.11434 -0.11434 -0.11434 -0.08039 0.00000 0.00000 0.03395 -0.03395
-2 1 7 -0.71347 -0.71347 -0.69040 -0.66723 0.00000 -0.66728 0.04624 -0.04624
-1 3 2 1.50266 1.50266 1.39015 1.49215 0.00000 1.38490 -0.01050 0.01050
2 1 3 0.10140 0.10140 0.16354 0.18720 0.00000 0.20644 0.08580 -0.08580
2 4 6 -0.68210 -0.68210 -0.68210 -0.95238 0.00000 0.00000 -0.27028 0.27028
1 3 9 -1.13000 -1.13000 -1.16761 -1.11228 0.00000 -1.15876 0.01771 -0.01771
1 1 12 0.80741 0.80741 0.94335 0.94341 0.00000 1.01135 0.13600 -0.13600
1 3 4 0.10529 0.10529 0.09456 0.11985 0.00000 0.10185 0.01457 -0.01457
0 3 1 0.76265 0.76265 0.65851 0.79768 0.00000 0.67602 0.03503 -0.03503
0 4 10 0.15103 0.15103 0.15103 0.06844 0.00000 0.00000 -0.08258 0.08258
1 4 13 0.18188 0.18188 0.18188 0.08482 0.00000 0.00000 -0.09706 0.09706
-1 4 8 -0.38405 -0.38405 -0.38405 -0.43086 0.00000 0.00000 -0.04681 0.04681
2 2 3 0.64574 0.64574 0.82499 0.64197 0.00000 0.82310 -0.00377 0.00377
