label wheel station sector db edb dai edai dphizsl2 edphizsl2 x_100011 ex_100011 phiy_100011 ephiy_100011 phiz_100011 ephiz_100011 y_010001 ey_010001 phiz_010001 ephiz_010001 phiy_000011 ephiy_000011 phiz_000011 ephiz_000011 x_100111 ex_100111 phix_100111 ephix_100111 phiy_100111 ephiy_100111 phiz_100111 ephiz_100111 y_010011 ey_010011 phiy_010011 ephiy_010011 phiz_010011 ephiz_010011 y_010111 ey_010111 phix_010111 ephix_010111 phiy_010111 ephiy_010111 phiz_010111 ephiz_010111
MB-2_1_12 -2 1 12    -0.00588015 0.00946776  0.222568 0.156161   -2.72363 0.153434    0.266391 0.0602841  -1.94036 0.601303  0.260398 0.0784179  1.08621 0.0716023  -2.46323 0.131881    -0.859423 0.183248  0.152377 0.155245    0.259443 0.0605178  0.777827 0.596704  -2.09543 0.612917  0.319657 0.0906387    1.07321 0.0716768  1.54714 0.94754  1.71767 1.14356    1.11006 0.0729616  0.27038 0.100251  1.15113 0.958766  1.25982 1.15599
MB-1_1_01 -1 1 1    -0.00015044 0.00607987  0.00619533 0.0937057   -0.174304 0.0797472    0.462432 0.0402505  -0.104127 0.387933  -0.111596 0.0489832  0.421961 0.0350256  -0.2859 0.0629306    -0.0760466 0.0607462  -0.114361 0.100416    0.458649 0.040284  0.807185 0.365566  -0.156711 0.388651  -0.0488685 0.0566376    0.421797 0.0350261  -0.456303 0.429143  -0.498137 0.266171    0.408271 0.03523  0.32385 0.0912552  -0.612863 0.431369  -0.593617 0.267504
MB-1_1_02 -1 1 2    0.00329848 0.00578878  -0.342269 0.0874607   0.329698 0.0761225    -0.125914 0.0374449  0.340118 0.361662  0.0391782 0.0466939  -0.637908 0.0327933  0.368876 0.0601192    -1.15398 0.0578881  0.0997341 0.095467    -0.128235 0.037477  0.524232 0.355286  0.300851 0.362625  0.0819577 0.0549904    -0.637263 0.0327924  -0.907005 0.421438  -0.385023 0.261761    -0.641839 0.0329993  0.108049 0.0871199  -0.936351 0.422092  -0.402257 0.262122
MB-1_1_03 -1 1 3    0.0385111 0.00746301  0.309301 0.0954403   -0.10852 0.0897818    0.25996 0.0408182  0.0534906 0.387722  -0.103814 0.0608248  0.635797 0.0364677  -0.212334 0.0660387    0.898555 0.0792323  0.602514 0.122621    0.259247 0.0408576  0.175078 0.456149  0.0432469 0.388607  -0.0895909 0.0712631    0.635815 0.0364675  0.54803 0.5557  0.109725 0.367862    0.627653 0.0364712  0.509704 0.109504  0.405861 0.556423  0.0167252 0.368288
MB-1_1_04 -1 1 4    -0.0106536 0.00546755  -0.169385 0.0816196   0.273413 0.0719484    -0.0901771 0.0361472  0.584925 0.337373  -0.0889317 0.0440658  -0.748364 0.0313946  0.184481 0.0568751    -0.0143289 0.0540275  -0.284143 0.0899729    -0.0927978 0.0362147  0.389612 0.328218  0.543602 0.33917  -0.0551133 0.0524707    -0.748185 0.0313955  0.291356 0.39065  0.00905551 0.240255    -0.752527 0.0314784  0.156597 0.082636  0.261521 0.390958  -0.00814191 0.240421
MB-1_1_05 -1 1 5    0.00252254 0.00540297  0.0267367 0.080287   0.0710348 0.0711791    -0.262484 0.0355128  0.325031 0.331712  -0.255299 0.0436621  -0.485862 0.0310324  -0.184265 0.0562146    0.409992 0.0536774  -0.20907 0.0888725    -0.269609 0.0355594  1.24356 0.325471  0.2127 0.33299  -0.148368 0.0518575    -0.485867 0.0310325  0.348131 0.388364  -0.170358 0.24043    -0.494539 0.0311643  0.247184 0.082003  0.28157 0.388972  -0.209724 0.240771
MB-1_1_06 -1 1 6    -0.00160057 0.00551477  -0.269631 0.0817012   1.43216 0.0724012    -1.20079 0.0362023  2.30864 0.337496  -0.422073 0.0444836  -0.635602 0.0315537  1.01009 0.0571239    1.17956 0.0547477  -0.451447 0.0909069    -1.20427 0.0362639  0.623741 0.332747  2.24542 0.339243  -0.367479 0.0531914    -0.632469 0.031548  -0.536689 0.394888  -0.699 0.243982    -0.622357 0.0316583  -0.317088 0.0836786  -0.46409 0.395323  -0.658474 0.244199
MB-1_1_07 -1 1 7    0.000390659 0.0055095  0.0737309 0.0816216   -0.0825433 0.0719378    -1.27078 0.0362625  -1.49634 0.337101  -0.0314375 0.0443458  -0.219936 0.0313291  -0.113981 0.0566435    -1.18706 0.0550092  -0.0242625 0.0909559    -1.2744 0.0363036  0.677001 0.331224  -1.55231 0.338178  0.0273312 0.0528821    -0.220075 0.0313288  -0.830692 0.39094  0.287564 0.242539    -0.23292 0.0314866  0.333807 0.0825031  -0.892994 0.39121  0.250949 0.242689
MB-1_1_08 -1 1 8    0.00213205 0.00557146  0.173572 0.0845292   -0.128721 0.0723844    -0.370457 0.0371512  -0.0581308 0.349633  -0.165532 0.0449997  0.749901 0.0317138  -0.294253 0.0566968    0.656096 0.0555102  -0.126375 0.0918979    -0.370501 0.0371962  0.0221603 0.332627  -0.0600966 0.350913  -0.163737 0.0521358    0.749601 0.0317141  0.514152 0.392249  0.0499571 0.24264    0.736708 0.0318464  0.368382 0.0838977  0.39968 0.393074  -0.0170561 0.243094
MB-1_1_09 -1 1 9    0.0135023 0.00577857  0.130162 0.0880004   -0.183514 0.075913    0.487176 0.0384862  -0.252869 0.364181  -0.0296983 0.0466417  0.222887 0.0328455  -0.213213 0.0598944    0.147396 0.0572534  0.216963 0.0947007    0.484768 0.0385411  0.400979 0.353003  -0.279522 0.364902  0.00417321 0.0554026    0.224482 0.0328509  0.772034 0.413078  0.404283 0.256003    0.209382 0.0330057  0.402324 0.0863972  0.735023 0.413455  0.377245 0.25623
MB-1_1_10 -1 1 10    -0.00434912 0.00597924  -0.114337 0.087473   0.428916 0.0781377    0.373989 0.0383053  0.219409 0.3612  0.118013 0.0479679  0.0636616 0.0335896  0.546929 0.0616813    -0.217787 0.059025  0.0386276 0.0980335    0.368741 0.0383806  0.784917 0.364752  0.151224 0.362561  0.185794 0.0573952    0.0634705 0.033591  -0.0266559 0.429557  0.399433 0.264876    0.0628207 0.0337231  0.0192929 0.0897888  -0.0302221 0.429867  0.397169 0.265083
MB-1_1_11 -1 1 11    -0.000500771 0.00600254  -0.105726 0.0894154   0.214768 0.0791082    0.32396 0.0384392  -0.364509 0.369479  -0.099239 0.0482563  0.279478 0.0340378  0.115529 0.0626851    -0.808713 0.059991  -0.108388 0.0984827    0.323841 0.0384756  0.0233913 0.367335  -0.365793 0.370134  -0.0971404 0.0581001    0.279808 0.0340382  0.192398 0.435742  0.453441 0.271652    0.277332 0.0343349  0.0493143 0.0899299  0.180766 0.436245  0.446048 0.271975
MB-1_1_12 -1 1 12    0.00129723 0.0055184  -0.0972735 0.0831493   -0.337465 0.0730743    0.354069 0.0362064  -0.80228 0.343812  -0.204494 0.0445404  1.06157 0.0319322  -0.541958 0.057931    -1.23102 0.0549396  -0.180671 0.0910288    0.349925 0.0362528  0.742644 0.334625  -0.859481 0.344759  -0.142302 0.052633    1.06129 0.031933  -1.18252 0.397661  -0.770574 0.245946    1.0597 0.0320949  0.0413518 0.083768  -1.19849 0.398975  -0.780373 0.246745
MB+0_1_01 0 1 1    -0.00913625 0.00709496  -0.0362116 0.0888171   -0.20099 0.0764716    0.142833 0.0420926  -0.986926 0.377614  0.0428499 0.0550007  -0.0180181 0.0301967  -0.15814 0.0531303    -1.14166 0.0158166  -0.125983 0.119016    0.137697 0.0423411  -0.434395 0.393194  -1.06181 0.383517  0.00849773 0.0632061    -0.0181072 0.0301967  -0.578499 0.414605  -0.141108 0.0558626    -0.0851153 0.0428551  0.833237 0.378268  -0.628744 0.415217  -0.141704 0.0558615
MB+0_1_02 0 1 2    -0.005188 0.00614954  0.504289 0.0926142   -0.102637 0.0734975    0.408189 0.0416984  -1.20977 0.393802  -0.0617238 0.0476911  -0.319448 0.0311756  -0.164361 0.0559236    0.936065 0.0153979  -0.158328 0.104104    0.408077 0.0417012  -0.0566859 0.365442  -1.21052 0.393848  -0.0575578 0.0546237    -0.320681 0.0311703  0.71931 0.374542  -0.184111 0.0560438    -0.335816 0.0464684  0.152348 0.347069  0.711716 0.374935  -0.185931 0.0561931
