wheel station sector hw_x hw_x1 hw_x2 hw_x3 hw_dx13
1 1 10 -4.08081 -3.88268 -4.99390 -4.25819 0.37552
2 4 4 -0.44846 -0.37827 -0.44846 -0.52628 0.14801
-2 1 7 2.12425 2.35886 -12.06909 1.88869 0.47016
-1 3 2 -1.11529 -1.26874 -7.30560 -0.81191 -0.45683
2 1 3 6.12203 6.47012 -5.96985 5.69901 0.77111
2 4 6 -2.51841 -2.51282 -2.51841 -2.28097 -0.23185
1 3 9 -2.13836 -1.89312 -3.48816 -2.44361 0.55048
1 1 12 -8.58513 -8.76849 -4.77753 -8.31160 -0.45689
1 3 4 -1.84328 -1.81362 -1.13251 -1.93930 0.12568
0 3 1 -1.22759 -1.22717 -1.34839 -1.20066 -0.02651
0 4 10 -7.25677 -7.17361 -7.25677 -7.35901 0.18539
1 4 13 -3.33557 -3.28537 -3.33557 -3.39340 0.10803
-1 4 8 4.25283 4.08418 4.25283 4.61726 -0.53308
2 2 3 5.29384 5.59201 -5.57922 4.80309 0.78892
2 1 5 -4.08860 -4.25663 -5.06592 -3.86338 -0.39325
1 2 9 0.29170 0.62436 -2.77557 -0.02958 0.65394
0 3 7 -3.93435 -3.93473 0.69942 -4.08100 0.14627
-2 2 10 1.47472 1.51064 -10.54199 1.16554 0.34510
2 3 5 -4.40763 -4.50721 -5.91736 -4.29334 -0.21387
1 2 3 3.70851 4.02711 -1.88660 3.32521 0.70191
1 4 11 -11.09057 -11.13815 -11.09057 -10.92572 -0.21244
2 2 1 -1.34018 -1.37983 -5.92957 -1.41325 0.03342
-2 1 4 -2.59274 -2.58675 -10.94299 -2.57004 -0.01671
-2 3 3 -3.77011 -3.95058 -9.78149 -3.45941 -0.49118
0 4 6 -8.46105 -8.60534 -8.46105 -8.51917 -0.08618
1 4 9 -2.59969 -2.19369 -2.59969 -3.21194 1.01825
1 2 11 -3.88484 -4.10037 -5.49042 -3.66863 -0.43175
2 2 7 -4.50386 -4.50422 -4.88586 -5.03342 0.52919
0 2 10 -2.00186 -1.85228 -2.45071 -2.26690 0.41462
1 2 4 -0.13329 -0.03576 -2.03278 -0.43949 0.40373
-1 4 14 5.17151 5.19699 5.17151 5.17578 0.02121
1 1 4 -0.31582 -0.28244 -1.47186 -0.94894 0.66650
1 4 7 -4.34288 -4.32724 -4.34288 -4.64027 0.31303
2 2 5 -2.07391 -2.18396 -7.27417 -1.99797 -0.18599
0 2 12 5.89130 6.29682 -1.43614 5.36570 0.93112
0 1 1 -0.93296 -0.93243 -2.14488 -1.05190 0.11948
-2 2 9 0.35830 0.08492 -9.53491 0.54516 -0.46024
1 1 6 -4.21621 -4.33082 -2.08893 -4.17365 -0.15717
1 4 5 -4.87708 -4.91212 -4.87708 -5.35075 0.43863
-1 1 5 4.63133 4.78764 -7.00439 4.45811 0.32953
-2 3 4 -0.99693 -0.94162 -12.27783 -1.19226 0.25064
-1 2 12 5.29562 5.59258 -3.71918 4.90438 0.68821
-2 3 1 -1.85080 -1.85040 -8.35083 -1.71041 -0.13998
1 4 3 -1.72672 -1.53346 -1.72672 -1.78567 0.25221
2 4 12 -5.94590 -6.01492 -5.94590 -5.84238 -0.17255
0 4 11 -8.13246 -8.25575 -8.13246 -7.96528 -0.29047
-1 2 10 4.47760 4.41271 -2.14539 4.19031 0.22240
-1 3 3 -1.11462 -1.28181 -6.12091 -0.86859 -0.41322
-2 2 8 -0.38588 -0.73319 -9.30054 -0.19840 -0.53479
1 4 1 -4.58496 -4.58458 -4.58496 -4.46068 -0.12390
