wheel station sector sw_phiz sw_phiz1 sw_phiz2 sw_phiz3 sw_dphiz1 sw_dphiz2 sw_dphiz3 sw_db
0 3 1 0.76265 0.77196 0.65851 0.78491 0.00931 -0.10414 0.02226 -0.01295
0 4 10 0.15103 0.15024 0.15103 0.06953 -0.00079 0.00000 -0.08149 0.08070
1 4 13 0.18188 0.19081 0.18188 0.07249 0.00893 0.00000 -0.10939 0.11832
-1 4 8 -0.38405 -0.39294 -0.38405 -0.41859 -0.00889 0.00000 -0.03454 0.02565
2 2 3 0.64574 0.62975 0.82499 0.65811 -0.01599 0.17925 0.01237 -0.02836
2 1 5 -0.30014 -0.28619 -0.28137 -0.30816 0.01395 0.01877 -0.00803 0.02198
1 2 9 0.15739 0.08600 0.15019 0.18088 -0.07139 -0.00721 0.02349 -0.09488
0 3 7 -0.41002 -0.42501 -0.59025 -0.33575 -0.01499 -0.18023 0.07426 -0.08925
-2 2 10 1.16144 1.15406 0.91010 1.20429 -0.00738 -0.25135 0.04284 -0.05022
2 3 5 -0.40807 -0.42626 -0.40573 -0.33395 -0.01818 0.00234 0.07412 -0.09231
1 2 3 0.34964 0.44196 0.66448 0.09145 0.09232 0.31485 -0.25819 0.35051
1 4 11 0.33693 0.34353 0.33693 0.37869 0.00660 0.00000 0.04176 -0.03516
2 2 1 0.40205 0.39577 -0.06183 0.28164 -0.00629 -0.46389 -0.12041 0.11413
-2 1 4 0.54922 0.54778 0.54218 0.56798 -0.00145 -0.00704 0.01876 -0.02021
-2 3 3 0.61669 0.60415 0.35536 0.55686 -0.01253 -0.26132 -0.05983 0.04729
0 4 6 -0.77984 -0.79207 -0.77984 -0.82802 -0.01224 0.00000 -0.04819 0.03595
1 4 9 0.27420 0.27956 0.27420 0.32076 0.00536 0.00000 0.04656 -0.04120
1 2 11 0.36996 0.43487 0.43112 0.20847 0.06491 0.06117 -0.16149 0.22640
2 2 7 0.42412 0.40929 0.17850 0.24364 -0.01483 -0.24562 -0.18048 0.16566
0 2 10 -0.22632 -0.12520 -0.37974 -0.33346 0.10112 -0.15342 -0.10714 0.20826
1 2 4 -0.48443 -0.37443 0.43230 -0.23163 0.11000 0.91673 0.25280 -0.14280
-1 4 14 0.80699 0.88911 0.80699 0.62165 0.08213 0.00000 -0.18534 0.26746
1 1 4 0.19873 0.21882 0.35095 0.32186 0.02009 0.15222 0.12313 -0.10304
1 4 7 -0.69908 -0.70352 -0.69908 -0.64040 -0.00444 0.00000 0.05868 -0.06312
2 2 5 0.08956 0.15155 0.15866 0.01596 0.06200 0.06910 -0.07360 0.13559
0 2 12 0.39715 0.40281 0.77294 0.29528 0.00566 0.37579 -0.10187 0.10753
0 1 1 0.68823 0.71969 0.68432 0.76906 0.03146 -0.00391 0.08083 -0.04937
-2 2 9 -0.43995 -0.53196 0.22026 -0.36876 -0.09201 0.66022 0.07119 -0.16320
1 1 6 -0.34196 -0.31542 -0.27597 -0.23909 0.02654 0.06599 0.10286 -0.07633
1 4 5 -0.46508 -0.41445 -0.46508 -0.53300 0.05062 0.00000 -0.06792 0.11854
-1 1 5 -0.39527 -0.40374 -0.32307 -0.29605 -0.00847 0.07220 0.09923 -0.10770
