ch_phix ch_phiy ch_phiz ch_x ch_y ch_z sector sl1_phix sl1_phiy sl1_phiz sl1_x sl1_y sl1_z sl2_phix sl2_phiy sl2_phiz sl2_x sl2_y sl2_z sl3_phix sl3_phiy sl3_phiz sl3_x sl3_y sl3_z station wheel
-0.54455 0.30635 1.16144 1.47472 11.33301 2.24731 10 -0.54455 -0.21529 1.16173 1.51064 11.43677 2.23694 -0.48317 -0.58193 0.91010 -10.54199 0.89584 1.80054 -0.41920 0.07346 1.19703 1.16554 10.64392 1.49536 2 -2 
-0.47884 1.14649 0.33802 3.57195 9.60388 -0.27743 11 -0.47883 0.03861 0.33855 3.70646 9.67163 -0.31668 -1.12510 -0.42416 1.10016 -9.06311 5.10641 -0.81730 -0.45180 -1.42371 0.30128 3.41267 8.38440 -1.19541 2 -2 
0.28683 2.53585 0.43002 2.27971 10.96436 -6.79892 12 0.28683 -0.99528 0.42901 2.57736 10.94543 -6.88537 -2.52618 0.27974 1.02058 -10.01099 2.90467 -7.41386 0.35159 1.76018 0.45016 1.87031 10.15991 -7.82992 2 -2 
-0.35952 0.00407 0.26118 -1.85080 8.29041 -8.14819 1 -0.35952 -1.96576 0.26189 -1.85040 8.32214 -8.14819 0.10091 -0.33571 0.03579 -8.35083 -2.03899 -8.91479 -0.28243 -1.43417 0.13171 -1.71041 8.46741 -9.14001 3 -2 
0.18280 -1.85844 0.48507 -3.66688 10.80750 -2.44070 2 0.18280 -3.39836 0.48479 -3.85233 10.78186 -2.46894 1.72370 0.18448 0.28476 -10.68237 -3.80990 -3.61614 0.15175 -2.67761 0.35861 -3.46583 10.70068 -3.68793 3 -2 
-0.34630 -1.81384 0.61669 -3.77011 10.26367 3.82799 3 -0.34630 -1.93463 0.61673 -3.95058 10.28870 3.80062 1.61727 -0.35617 0.35536 -9.78149 -3.86001 2.51032 -0.28230 -0.13674 0.53921 -3.45941 10.72754 2.42375 3 -2 
-0.87927 0.55649 0.71858 -0.99693 11.87195 7.65930 4 -0.87927 -0.26549 0.71930 -0.94162 11.94885 7.66724 -0.40570 -0.88167 0.67205 -12.27783 -1.17121 6.93420 -0.89176 -2.08358 0.79312 -1.19226 12.33093 6.58142 3 -2 
0.61812 1.61236 0.26403 4.63487 9.98840 6.39942 5 0.61812 -0.00764 0.26302 4.79491 9.92310 6.42331 -1.67084 0.57170 0.03216 -9.85168 4.21604 5.32119 0.62036 -0.37950 0.21528 4.10449 9.74548 5.13470 3 -2 
-0.20164 1.58627 -0.27757 6.68766 11.53687 0.85315 6 -0.20164 -1.00329 -0.27705 6.84536 11.56128 0.87725 -1.56239 -0.25032 -0.40064 -11.43799 6.44404 0.10569 -0.22941 -0.61130 -0.27216 6.62346 10.96069 -0.01343 3 -2 
-0.74564 1.41083 -0.27379 4.91922 10.25452 -4.10645 7 -0.74564 -0.68280 -0.27223 5.05962 10.33264 -4.08508 -1.32286 -0.72332 -0.40274 -10.48950 4.64212 -4.99207 -0.71088 -1.18984 -0.29261 4.81134 10.56519 -5.09766 3 -2 
0.16208 -2.10935 -0.15191 1.70483 10.17029 -3.58279 8 0.16208 -1.52730 -0.15182 1.49484 10.15686 -3.61448 2.00276 0.24445 -0.27254 -10.20569 1.74014 -4.44326 0.12614 -3.59897 -0.18467 1.80443 9.10400 -4.67066 3 -2 
-0.28868 -1.60521 0.05085 1.98574 5.01221 2.00982 9 -0.28868 -3.17179 0.05130 1.82584 5.04028 1.98586 1.63543 -0.22338 -0.08633 -5.04578 1.94003 1.13135 -0.12746 -1.03902 0.01859 2.21236 5.08240 0.85374 3 -2 
-0.26691 0.39692 0.40740 1.80202 12.95593 3.66943 10 -0.26691 -0.77842 0.40771 1.84151 12.97668 3.67493 -0.41613 -0.17071 0.30712 -12.48901 1.69556 2.57996 -0.17972 -1.04782 0.39017 1.69947 12.76550 2.65442 3 -2 
-0.08984 2.36567 -0.11027 3.62293 7.14661 -0.10917 11 -0.08984 0.83293 -0.11013 3.85804 7.15759 -0.07366 -2.36362 -0.16730 -0.15395 -6.22070 3.31234 -1.04692 -0.15032 -0.28566 -0.05137 3.19962 6.75537 -1.08896 3 -2 
