label wheel station sector db edb dai edai dphizsl2 edphizsl2 x_100011 ex_100011 phiy_100011 ephiy_100011 phiz_100011 ephiz_100011 y_010001 ey_010001 phiz_010001 ephiz_010001 phiy_000011 ephiy_000011 phiz_000011 ephiz_000011 x_100111 ex_100111 phix_100111 ephix_100111 phiy_100111 ephiy_100111 phiz_100111 ephiz_100111 y_010011 ey_010011 phiy_010011 ephiy_010011 phiz_010011 ephiz_010011 y_010111 ey_010111 phix_010111 ephix_010111 phiy_010111 ephiy_010111 phiz_010111 ephiz_010111
MB+1_1_06 1 1 6    -0.0528251 0.00546453  -0.293801 0.0846915   0.120387 0.0720938    2.65773 0.0359747  -0.59106 0.350753  -0.221099 0.0441259  -0.679425 0.0312014  -0.100712 0.0570124    -1.23789 0.0543763  -1.19097 0.0901049    2.66581 0.0361223  1.58442 0.332123  -0.452551 0.352744  -0.351682 0.0519442    -0.679762 0.0312013  -1.35793 0.393475  -0.561677 0.243292    -0.68538 0.0313319  0.161645 0.0824773  -1.29689 0.394709  -0.525656 0.243986
MB+1_1_07 1 1 7    -0.0135751 0.00574208  -0.523953 0.105725   1.41505 0.0783752    2.10722 0.0378291  2.41278 0.441347  -0.263498 0.0460051  -0.735006 0.0330571  1.15155 0.0634524    0.338291 0.0575736  -0.513039 0.0949984    2.10738 0.0378546  0.0443335 0.367943  2.41629 0.44229  -0.266718 0.0529255    -0.735677 0.0330524  0.21008 0.43354  -0.172864 0.268285    -0.750202 0.0332068  0.390831 0.0871285  0.525078 0.439141  0.0152594 0.271512
MB+1_1_08 1 1 8    0.00184841 0.00562226  -0.172145 0.0838673   0.363741 0.0731211    1.51193 0.0366302  0.00773611 0.346488  -0.334922 0.0453129  -0.126361 0.0317867  0.028819 0.0573884    -0.745915 0.0564363  -0.30097 0.0928009    1.51326 0.0366606  0.29824 0.339758  0.0259299 0.347102  -0.35875 0.0528103    -0.126091 0.0317863  -0.796932 0.402534  -0.458843 0.250579    -0.121492 0.0320259  -0.0988791 0.0840833  -0.821296 0.403054  -0.473828 0.250894
MB+1_1_09 1 1 9    -0.0159308 0.00550039  -0.0311874 0.0830599   0.164574 0.0719353    1.37094 0.0365905  0.37908 0.343513  -0.173421 0.0442601  0.366813 0.0314509  -0.00884665 0.0567074    0.428048 0.0546623  -0.465398 0.0905745    1.3727 0.0366374  0.315135 0.329549  0.401731 0.344348  -0.199013 0.0516815    0.366549 0.031452  0.754042 0.389695  0.216414 0.240881    0.361269 0.0315933  0.145747 0.082519  0.790701 0.390235  0.239247 0.241222
MB+1_1_10 1 1 10    -0.00601933 0.0054911  -0.168149 0.0823324   0.240787 0.0719653    0.463794 0.0359953  -0.155345 0.340336  -0.367423 0.0440289  -0.676673 0.0314118  -0.126636 0.056925    -0.802182 0.0546834  -0.477678 0.09043    0.467081 0.0360342  0.647684 0.328838  -0.108408 0.341156  -0.419868 0.0514486    -0.676541 0.0314119  -0.528056 0.392366  -0.351376 0.243289    -0.688533 0.0315556  0.327886 0.0828475  -0.429904 0.393113  -0.291381 0.243739
MB+1_1_11 1 1 11    -0.0286096 0.00570255  -0.118372 0.083883   0.122879 0.074907    0.591567 0.0368091  0.675517 0.346334  -0.103065 0.0458385  -0.0996993 0.0327692  0.0198135 0.0592443    0.498446 0.0568039  -0.627335 0.0939086    0.591201 0.0368535  -0.0497204 0.343405  0.671196 0.347565  -0.0990563 0.0539246    -0.0998837 0.0327683  -0.231949 0.407209  -0.526841 0.252371    -0.109493 0.032922  0.259828 0.0863609  -0.121863 0.408829  -0.461058 0.253304
MB+1_1_12 1 1 12    -0.0306982 0.00559329  -0.381478 0.0864166   1.09239 0.0740198    0.304562 0.0365485  1.95442 0.357834  -0.216434 0.0450683  -0.930735 0.0320292  0.875957 0.0587178    0.681463 0.0557247  -0.780135 0.0922915    0.305724 0.0365968  0.211282 0.341029  1.97179 0.358926  -0.233935 0.0531785    -0.929976 0.0320262  0.161158 0.404034  -0.202455 0.249964    -0.942973 0.032173  0.355007 0.0846933  0.303721 0.405425  -0.115549 0.250798
MB+2_1_01 2 1 1    0.0436317 0.0139419  0.294095 0.20995   -1.07137 0.207351    -0.0422765 0.0900425  -0.110358 0.791773  -0.498815 0.117368  -1.5444 0.100546  -1.57018 0.170937    0.14666 0.265128  0.303476 0.227915    -0.0129293 0.0907257  2.1798 0.829648  0.605807 0.837427  -0.627588 0.12718    -1.56061 0.10108  -2.13438 1.30083  -3.95437 1.54187    -1.45082 0.107214  0.463079 0.152382  -1.12463 1.34182  -2.82299 1.58584
MB+2_1_02 2 1 2    0.0237603 0.0142854  0.225636 0.200898   -1.20709 0.19842    0.480424 0.0922488  -0.58493 0.748706  0.543741 0.116041  1.939 0.091526  -0.663349 0.16095    -0.156272 0.261064  0.971061 0.229218    0.46919 0.0950954  -0.37128 0.766821  -0.701975 0.786795  0.57927 0.137261    1.93463 0.0917175  0.375611 1.3093  0.451806 1.52855    2.19075 0.104779  0.753299 0.14899  -0.260454 1.31457  -0.229815 1.53358
MB+2_1_03 2 1 3    0.032351 0.0115774  0.142133 0.172927   -0.983308 0.174151    1.38632 0.0734993  -0.801413 0.652236  0.234405 0.0941382  1.82817 0.0787248  -0.748903 0.146514    -0.92806 0.21807  0.822427 0.188203    1.39819 0.0743197  0.717771 0.665709  -0.645442 0.668071  0.173673 0.109706    1.82545 0.0787523  0.608451 1.1035  0.918781 1.31349    2.01239 0.0840499  0.747857 0.11801  0.694671 1.10289  1.04823 1.31283
MB+2_1_04 2 1 4    -0.00868015 0.0101157  0.0446156 0.167854   -1.10759 0.164274    1.33889 0.0638301  -1.18308 0.646748  -0.206611 0.0831985  2.27236 0.0775839  -1.31421 0.141647    -0.796151 0.197886  -0.365401 0.165294    1.34046 0.0639893  0.223162 0.640427  -1.14865 0.654317  -0.221971 0.0941659    2.27637 0.0776314  0.261937 1.00335  0.43622 1.2237    2.3057 0.0778891  0.477062 0.107175  1.01975 1.0174  1.33449 1.23987
MB+2_1_05 2 1 5    -0.0370764 0.0322405  0.492279 0.485511   -1.87749 0.499517    1.46533 0.199237  -2.02398 1.83101  -0.409079 0.262345  -0.0070893 0.226117  -2.28657 0.42508    0.909236 0.619906  -1.08311 0.524128    1.45791 0.200092  -0.791126 2.00605  -2.14118 1.8547  -0.336894 0.319676    -0.00695106 0.22612  -2.43636 3.16917  -2.78411 3.84399    0.027872 0.22916  0.305008 0.323643  -2.37169 3.16953  -2.70743 3.84439
MB+2_1_06 2 1 6    -0.0320675 0.00995922  -0.462347 0.159759   2.36406 0.156802    2.20379 0.0619332  1.64066 0.61274  -0.0085991 0.0815077  -1.40932 0.0721037  2.35546 0.133953    0.398509 0.189671  -0.592722 0.16207    2.19913 0.062325  -0.402694 0.611233  1.55025 0.627626  0.0224144 0.0941079    -1.4159 0.0721079  -2.34124 0.99098  -2.39516 1.18985    -1.33988 0.0750628  0.385967 0.106089  -1.81869 1.00118  -1.78589 1.20139
MB+2_1_07 2 1 7    -0.052246 0.00954479  -0.356789 0.153891   0.913866 0.154719    3.09388 0.0606253  0.989392 0.590203  -0.0151606 0.0789607  -1.07155 0.0708996  0.898705 0.133053    0.655341 0.183555  -0.970472 0.155641    3.10842 0.0609017  1.52187 0.609541  1.3237 0.605207  -0.1376 0.0929458    -1.07793 0.0709789  -0.820168 0.974045  -1.26719 1.17337    -1.01054 0.0721576  0.519002 0.100986  -0.346488 0.978089  -0.738475 1.1775
MB+2_1_08 2 1 8    -0.00293908 0.0098167  -0.287962 0.158369   -0.266823 0.157631    1.773 0.0609655  -0.420095 0.607324  0.105056 0.0796154  -0.423724 0.072129  -0.161767 0.136048    -1.57888 0.189359  0.0514077 0.160529    1.78806 0.0614262  1.22575 0.612254  -0.247471 0.613391  0.011062 0.0924225    -0.418925 0.0722092  -1.81869 1.00577  -1.83309 1.20957    -0.400159 0.0735984  0.135116 0.102464  -1.72807 1.0081  -1.71533 1.21284
MB+2_1_09 2 1 9    -0.00346926 0.0106447  -0.329778 0.162485   0.976049 0.155    1.68279 0.0683295  0.63835 0.616181  -0.133869 0.0863414  -0.991532 0.0730442  0.84218 0.128725    -0.68658 0.20138  -0.196985 0.173346    1.68715 0.0688026  0.334281 0.605201  0.707134 0.629066  -0.158146 0.0969235    -0.992111 0.073045  -0.273734 0.961942  -0.242449 1.15123    -0.922638 0.0773519  0.298399 0.109362  0.061509 0.969652  0.151482 1.16012
MB+2_1_10 2 1 10    0.0238499 0.00957294  -0.40046 0.164   1.7038 0.152657    1.57202 0.058703  1.33983 0.637457  -0.0266795 0.0785749  -0.495822 0.0700953  1.67712 0.130882    -0.903675 0.183842  0.407152 0.155397    1.56351 0.0589324  -0.979907 0.602556  1.11676 0.652004  0.0304978 0.086069    -0.498108 0.0702244  0.817898 0.950617  1.05412 1.14214    -0.472551 0.072386  0.149243 0.101887  1.20253 0.986232  1.50158 1.18228
MB+2_1_11 2 1 11    -0.00659269 0.0103046  -0.501564 0.159106   2.08465 0.158379    1.45995 0.0628063  1.61021 0.604896  0.0822184 0.0841911  -1.1607 0.0717621  2.16687 0.134149    -0.375177 0.195711  -0.0375821 0.167258    1.47945 0.0633833  1.4209 0.624175  1.90608 0.618667  -0.0312484 0.0978334    -1.1581 0.0717612  -1.23021 1.02266  -1.20618 1.22181    -1.08076 0.074706  0.396957 0.107059  -0.825171 1.02717  -0.716884 1.22728
MB+2_1_12 2 1 12    0.00642341 0.0100701  -0.417647 0.164605   2.29293 0.156948    0.866907 0.0613947  2.44293 0.63399  -0.144795 0.0823294  -0.191862 0.0713192  2.14814 0.133621    0.520526 0.192032  -0.0277957 0.163908    0.869573 0.0616676  0.284555 0.617236  2.48981 0.642102  -0.165243 0.0935295    -0.19225 0.0713079  -1.14928 0.993153  -2.13402 1.19142    -0.107225 0.0741223  0.445719 0.106353  -0.390488 1.00932  -1.23357 1.21038
MB-2_2_01 -2 2 1    -0.0455968 0.0104595  -0.189621 0.188382   -0.225391 0.172073    0.588998 0.0836416  0.0594618 0.738722  0.334044 0.105681  2.19233 0.0827239  0.108652 0.135795    0.287301 0.201373  -0.659334 0.201885    0.598751 0.0840761  0.968108 0.84948  0.182655 0.746547  0.280445 0.115671    2.1926 0.0826202  -2.96666 1.20107  -2.94291 1.21876    2.26516 0.0840182  0.677225 0.143553  -3.60983 1.20847  -3.58893 1.22612
MB-2_2_02 -2 2 2    -0.0943239 0.0106097  -0.227368 0.179832   -0.37411 0.159313    0.263633 0.0898638  -0.316314 0.698247  0.345681 0.106308  2.90931 0.0810854  -0.0284287 0.118656    0.847809 0.201394  -1.69888 0.203928    0.26891 0.090021  0.749565 0.738763  -0.269056 0.699833  0.312618 0.111226    2.9097 0.0810863  -1.18146 1.04798  -0.899794 1.06218    3.01768 0.0839229  0.716183 0.144069  -1.12732 1.04774  -0.839534 1.06194
MB-2_2_03 -2 2 3    0.0252301 0.0102613  0.0271054 0.184227   -0.865329 0.161124    0.126197 0.0851392  -0.897521 0.723003  0.0884091 0.102763  1.90701 0.0813734  -0.77692 0.1241    -1.35146 0.195517  0.632337 0.195903    0.130136 0.0852007  0.950221 0.749853  -0.856826 0.723744  0.0548785 0.106145    1.90782 0.0813696  -3.37367 1.08971  -3.28111 1.10899    2.02718 0.0832314  0.956833 0.141879  -2.8512 1.0919  -2.74863 1.11123
MB-2_2_04 -2 2 4    0.212095 0.0100537  0.270957 0.171062   0.00487188 0.156212    0.0822622 0.0823618  0.115522 0.664162  -0.229754 0.100777  1.07421 0.0799192  -0.224883 0.119357    -3.52761 0.192551  4.35875 0.192747    0.08519 0.0824947  0.472256 0.732117  0.14859 0.666187  -0.244933 0.103523    1.07416 0.0799177  -1.26899 1.04977  -1.62632 1.06927    1.14277 0.0813741  0.617246 0.13846  -0.899697 1.0528  -1.25241 1.07231
MB-2_2_05 -2 2 5    -0.0291 0.00985449  -0.301918 0.173216   1.54786 0.152824    0.260522 0.0825904  1.7407 0.67634  -0.350345 0.0983939  0.386609 0.0786434  1.19751 0.116935    1.11503 0.189867  -0.981433 0.189715    0.25769 0.0826352  -0.721251 0.71246  1.7165 0.676737  -0.327707 0.100942    0.387584 0.0786432  0.0979622 1.02516  -0.471124 1.04778    0.480481 0.0796952  0.956796 0.135485  0.542548 1.02655  -0.0123886 1.04923
MB-2_2_06 -2 2 6    -0.00418634 0.00984729  0.612119 0.174428   -1.71787 0.153142    -0.871152 0.082364  -1.67504 0.682502  -0.427135 0.0987649  -0.872067 0.0774209  -2.145 0.117039    1.02434 0.188635  -0.517671 0.188675    -0.865183 0.0824235  1.34368 0.723343  -1.62862 0.68293  -0.471489 0.101603    -0.872424 0.0774306  -1.37505 1.02397  -1.8409 1.04477    -0.826964 0.0787227  0.42585 0.133501  -1.23106 1.02486  -1.68831 1.04576
MB-2_2_07 -2 2 7    0.118334 0.00966133  0.0312714 0.169683   0.604518 0.151581    -1.68219 0.0812485  -0.62336 0.662131  -0.16216 0.096723  1.76062 0.078362  0.442358 0.116711    -3.17243 0.187064  2.40928 0.186336    -1.68032 0.0812898  0.507111 0.707813  -0.603772 0.66269  -0.179352 0.0996531    1.76074 0.0783575  -2.9214 1.00729  -1.89849 1.03267    1.83234 0.0789119  0.977923 0.132518  -2.55576 1.00794  -1.52509 1.03332
MB-2_2_08 -2 2 8    0.126008 0.00951564  -0.222972 0.16712   2.94187 0.147903    -0.042115 0.0802784  3.47706 0.652385  -0.319248 0.0954149  2.34116 0.0759913  2.62262 0.11301    -0.323932 0.183668  2.41611 0.183207    -0.0459012 0.0803796  -0.6489 0.696472  3.45018 0.653011  -0.292164 0.0997341    2.34624 0.0760056  0.62158 0.986327  -0.280561 1.00914    2.41605 0.0765733  0.936704 0.129261  0.752544 0.985973  -0.125858 1.00884
MB-2_2_09 -2 2 9    0.183887 0.0110895  -0.122722 0.185961   1.46603 0.166399    0.496577 0.0937992  1.69563 0.719864  -0.25187 0.111147  2.00525 0.0844847  1.21416 0.123834    -3.00284 0.211091  3.74753 0.214052    0.48795 0.0940155  -1.03081 0.766738  1.62069 0.722064  -0.20715 0.115916    2.00737 0.0845108  0.591622 1.11099  0.108427 1.11959    2.11655 0.0880295  0.663474 0.150182  0.618282 1.11072  0.148535 1.11934
MB-2_2_10 -2 2 10    0.0140833 0.0129274  0.0606863 0.212854   -1.12581 0.1943    0.554304 0.104611  -0.430684 0.820576  -0.0573866 0.129743  -0.32752 0.093322  -1.1832 0.144635    -0.494501 0.244264  0.250819 0.251404    0.557383 0.105239  0.239163 0.883994  -0.393825 0.832084  -0.0674209 0.134867    -0.326801 0.0933157  -3.42872 1.37269  -4.13637 1.35999    -0.226432 0.103746  0.3938 0.177942  -3.45312 1.37262  -4.15994 1.35992
MB-2_2_11 -2 2 11    -0.158074 0.0131077  -0.727577 0.222048   2.85336 0.196627    1.23626 0.108065  3.40422 0.861601  -0.0911847 0.131945  2.13368 0.0978104  2.76217 0.145783    3.90804 0.247683  -3.53725 0.253466    1.22644 0.108142  -2.00736 0.888494  3.31069 0.862511  -0.058523 0.132722    2.13682 0.097767  -0.847173 1.3375  -1.44879 1.33277    2.27999 0.106079  0.634829 0.182733  -0.0263578 1.35794  -0.63054 1.35316
MB-2_2_12 -2 2 12    0.0232971 0.01044  0.197458 0.203271   -1.60853 0.168533    0.791328 0.087129  -1.52119 0.807392  0.179815 0.10488  1.77896 0.0832737  -1.42872 0.131923    -1.20951 0.200533  0.687271 0.201774    0.791471 0.0871587  0.0621644 0.788475  -1.51865 0.808376  0.178394 0.106223    1.77919 0.0832714  -1.41928 1.15237  -1.32673 1.16026    1.86004 0.0855256  0.590715 0.143035  -0.712 1.16479  -0.632165 1.17216
MB-1_2_01 -1 2 1    -0.064189 0.00662066  -0.235701 0.122688   -0.238995 0.0958644    0.656449 0.0595834  -0.66727 0.512345  -0.135867 0.0662044  0.648305 0.0455582  -0.374863 0.0693323    -0.938522 0.0661053  -1.53637 0.128388    0.656385 0.0595956  -0.0257212 0.504307  -0.668489 0.512622  -0.13493 0.0687736    0.648 0.0455584  -1.21595 0.563851  -0.654377 0.295448    0.605758 0.0459516  0.969695 0.140247  -1.07237 0.564059  -0.582981 0.295537
MB-1_2_02 -1 2 2    -0.21616 0.0066586  -0.7125 0.11753   0.44339 0.0938212    0.259212 0.0603422  1.33186 0.489863  0.062213 0.0663864  0.0793155 0.0450152  0.505603 0.0662967    0.766741 0.0662245  -4.65123 0.129127    0.262859 0.0603659  1.03215 0.492603  1.37474 0.490277  0.0201157 0.0693599    0.0789969 0.0450111  -0.666531 0.540345  -0.509669 0.282404    0.0341595 0.0452889  1.19165 0.1382  -0.574047 0.540183  -0.462303 0.282317
MB-1_2_03 -1 2 3    0.0887557 0.00861885  0.310304 0.124586   -0.70991 0.113789    -0.121025 0.0634066  -0.278521 0.511394  0.433626 0.0864206  1.43354 0.049893  -0.276284 0.0740235    -0.0452671 0.0916249  2.36762 0.16674    -0.118634 0.0634297  0.868358 0.640779  -0.251991 0.511759  0.396678 0.0906246    1.43355 0.0498929  0.0667405 0.732886  -0.0861583 0.410329    1.39987 0.0499891  1.61264 0.174759  0.166094 0.732468  -0.030842 0.410096
MB-1_2_04 -1 2 4    0.00978283 0.0065627  0.213332 0.124481   -0.625175 0.0965975    -0.178545 0.0643402  -0.890116 0.520112  -0.23787 0.0653134  0.124557 0.0484614  -0.863045 0.0711704    -0.0939925 0.0667715  -0.0247924 0.127147    -0.177004 0.0643401  1.21714 0.482846  -0.864556 0.520186  -0.287079 0.068165    0.125623 0.0484578  0.980493 0.534914  0.107987 0.286644    0.0515267 0.0495887  0.976848 0.13994  1.04577 0.5348  0.139322 0.286574
MB-1_2_05 -1 2 5    0.168814 0.0062427  0.0394682 0.117039   0.477542 0.090338    -0.69775 0.0563561  1.50687 0.488992  -0.235151 0.0622891  0.159606 0.0428779  0.242391 0.0654296    -0.248371 0.0622081  3.44654 0.121063    -0.694715 0.0563646  1.27901 0.474054  1.54198 0.489141  -0.276116 0.0641108    0.159542 0.0428779  1.1634 0.525705  0.0684098 0.27431    0.132809 0.0432138  0.647663 0.131292  1.32288 0.526618  0.149562 0.274762
MB-1_2_06 -1 2 6    -0.0700399 0.00656252  0.177475 0.113701   0.0758898 0.0938351    -1.43716 0.0576904  0.375691 0.473456  -0.21341 0.0655974  0.355675 0.0446025  -0.137521 0.067097    1.93023 0.065786  -1.74162 0.127279    -1.43627 0.0577005  0.390725 0.494359  0.384629 0.473583  -0.228554 0.0683392    0.355564 0.0446025  0.805552 0.550218  0.0829302 0.290145    0.341235 0.0450757  0.301651 0.137196  0.810771 0.550206  0.086371 0.29014
MB-1_2_07 -1 2 7    -0.0793461 0.00636519  -0.260786 0.115972   0.52129 0.0917695    -2.46566 0.0568464  1.13179 0.483961  -0.0310026 0.0633866  -0.321455 0.0435621  0.490287 0.066361    0.927309 0.0636154  -1.76312 0.123651    -2.46649 0.056858  -0.345163 0.482367  1.1209 0.484199  -0.0173111 0.0662114    -0.321746 0.0435609  -0.111317 0.537165  -0.142683 0.28145    -0.345872 0.0439268  0.567883 0.134024  -0.0788377 0.537161  -0.126614 0.281445
MB-1_2_08 -1 2 8    -0.0423315 0.00638567  -0.0681306 0.112003   0.205535 0.0913283    -0.91459 0.0561748  0.810956 0.466706  -0.16201 0.0641224  0.713289 0.0430625  0.0435253 0.065032    1.005 0.0633454  -1.08561 0.123692    -0.915118 0.0561941  -0.170715 0.482599  0.805315 0.466999  -0.155095 0.0669025    0.713269 0.0430617  -0.0571884 0.534256  -0.396958 0.278711    0.66771 0.043251  1.41542 0.134757  0.146871 0.534251  -0.292745 0.2787
MB-1_2_09 -1 2 9    0.0976916 0.00693945  0.0329152 0.115821   0.366178 0.0968195    -0.303459 0.0612375  0.677069 0.4815  0.0472408 0.0690654  0.309648 0.0465902  0.413419 0.0678527    -0.296797 0.0693024  2.17042 0.134075    -0.301957 0.0612568  0.468429 0.504854  0.694244 0.481826  0.0269677 0.0724433    0.30945 0.0465893  -0.431201 0.558375  -0.156105 0.294858    0.278659 0.0470301  0.687553 0.144748  -0.391513 0.558346  -0.136852 0.294838
MB-1_2_10 -1 2 10    0.19718 0.00678732  0.0588986 0.117606   0.199973 0.0960552    0.113575 0.0603587  0.75716 0.489833  0.0591371 0.0673487  0.698306 0.045795  0.25911 0.0684891    -1.23402 0.0675421  4.34164 0.131128    0.116149 0.0603694  1.07651 0.501049  0.768781 0.489849  0.0129086 0.0707102    0.699217 0.0458019  0.133914 0.554958  -0.0589417 0.291355    0.673827 0.0461952  0.588802 0.140438  0.0992172 0.554921  -0.0718817 0.291321
MB-1_2_11 -1 2 11    0.188937 0.00701495  -0.0084422 0.118788   0.31686 0.0987586    0.611065 0.0614092  0.873767 0.494213  -0.130608 0.0695295  0.297331 0.0474033  0.186251 0.070135    -1.31123 0.069987  3.97347 0.135591    0.613233 0.0614229  0.851695 0.514983  0.892659 0.494338  -0.157872 0.0714569    0.297485 0.0474035  0.523735 0.570382  0.00728645 0.299899    0.273866 0.0478517  0.524318 0.146004  0.631016 0.57111  0.0645259 0.300294
MB-1_2_12 -1 2 12    0.0113741 0.00661932  -0.415954 0.124713   0.965608 0.0965044    1.04001 0.058415  1.0606 0.521147  -0.190687 0.0658792  2.04934 0.0448988  0.774922 0.0705197    -0.839168 0.0658616  0.0576125 0.12861    1.04084 0.0584295  0.331058 0.513347  1.07291 0.52154  -0.201963 0.068143    2.04854 0.0448974  -0.46392 0.574819  0.00326263 0.299335    2.02962 0.045147  0.548423 0.138472  -0.382845 0.575123  0.0427613 0.29947
MB+0_2_01 0 2 1    -0.395957 0.00907207  -0.325472 0.144208   -0.529214 0.116272    0.928615 0.0815036  -0.198825 0.613202  0.142287 0.0867775  -0.0407363 0.0528289  -0.386928 0.0773875    -1.60139 0.0234292  -8.56575 0.179657    0.935701 0.0817681  0.646217 0.600193  -0.0871299 0.621915  0.112869 0.0909749    -0.0430145 0.0528686  -0.901701 0.639644  -0.348089 0.0850764    0.177869 0.0833598  -2.44374 0.713124  -0.994244 0.64013  -0.336824 0.0851283
MB+0_2_02 0 2 2    -0.118352 0.00719807  -0.132366 0.117363   -0.146825 0.0951339    0.608092 0.0659693  -0.183153 0.499094  0.273802 0.0697314  -0.648714 0.0448058  0.126977 0.0647147    -0.747754 0.0179206  -2.34257 0.143033    0.609387 0.066001  -0.327171 0.512375  -0.187308 0.499129  0.258136 0.0739178    -0.645875 0.0448928  0.345833 0.513441  0.118972 0.0651811    -0.660309 0.0674039  0.171393 0.596548  0.350803 0.513738  0.119517 0.0652153
MB+0_2_03 0 2 3    0.221003 0.00640144  -0.0590913 0.112639   -0.325004 0.0855828    0.61461 0.0552552  1.18993 0.479062  0.167495 0.0613238  -1.61555 0.0393866  -0.157509 0.0596977    0.943632 0.0155888  4.98898 0.125472    0.615512 0.0552549  -1.06539 0.474429  1.24035 0.479577  0.145433 0.0621011    -1.6123 0.0394092  0.0836262 0.467888  -0.150979 0.0597593    -1.6432 0.0577543  0.382196 0.521942  0.0830061 0.467888  -0.149495 0.0597926
MB+0_2_04 0 2 4    -0.287594 0.00620889  -0.182703 0.102529   0.0968632 0.0816391    -0.645335 0.0537096  -0.401278 0.436037  0.0410483 0.0593527  -1.52762 0.037279  0.137911 0.0560553    -1.18708 0.0150037  -6.22423 0.121544    -0.645732 0.0537109  0.417537 0.450013  -0.408678 0.436107  0.0235919 0.0622593    -1.52811 0.0372792  0.415005 0.447161  0.140096 0.056067    -1.50777 0.0552623  -0.252635 0.506623  0.419415 0.447249  0.140865 0.0560882
MB+0_2_05 0 2 5    -0.0291071 0.00607745  0.0264664 0.105626   0.30897 0.0811971    -1.43838 0.0532613  0.14307 0.449229  -0.232969 0.0584436  -0.462351 0.0368442  0.0760007 0.0563676    0.25486 0.0148341  -0.867652 0.118936    -1.43817 0.0532614  -0.387713 0.452654  0.151495 0.449324  -0.219314 0.0605615    -0.462231 0.0368488  0.0445954 0.446758  0.0757963 0.0563727    -0.478914 0.0548317  0.203318 0.494869  0.0387466 0.44695  0.0752189 0.0563966
MB+0_2_06 0 2 6    0.17719 0.00590588  0.0980597 0.101263   0.147904 0.0779075    3.1958 0.0522649  -0.112319 0.430671  -0.0856141 0.0568277  0.154157 0.0357512  0.0622899 0.0532935    0.308389 0.0142871  3.78331 0.115757    3.19579 0.0522651  -0.0316887 0.427914  -0.112589 0.430689  -0.0866969 0.0584823    0.154019 0.0357519  -0.353075 0.424672  0.0617352 0.0533028    0.241073 0.0531691  -1.08054 0.488816  -0.350817 0.424662  0.0605888 0.0533041
MB+0_2_07 0 2 7    -0.117381 0.00604928  0.00337306 0.104917   -0.106535 0.0802673    2.95175 0.0538661  -0.299972 0.446212  0.167644 0.0583553  -0.494093 0.0367236  0.061109 0.0551136    -0.289821 0.0147094  -2.39835 0.118668    2.9516 0.0538669  -0.172153 0.442198  -0.300394 0.446211  0.161144 0.0606798    -0.495075 0.036722  1.2346 0.436325  0.0635645 0.055114    -0.577403 0.0540185  1.01131 0.487007  1.23089 0.436319  0.0649575 0.0551167
MB+0_2_08 0 2 8    0.184417 0.00576535  -0.0715591 0.0999922   0.229163 0.0774028    -1.37391 0.0515164  1.88587 0.425259  -0.124652 0.0554696  0.47778 0.0359129  0.104511 0.0539844    1.57614 0.0142703  3.90277 0.11303    -1.3739 0.0515155  0.71408 0.419177  1.88714 0.425252  -0.15402 0.0580853    0.477446 0.0359114  0.679405 0.419592  0.10588 0.053984    0.502461 0.0541  -0.295741 0.479548  0.677722 0.419605  0.106242 0.0539873
MB+0_2_09 0 2 9    -0.0283529 0.00649467  -0.0872668 0.104329   0.159231 0.0841558    -0.704408 0.0568473  1.0272 0.443689  -0.068647 0.0626022  0.190225 0.0386641  0.0905839 0.056242    0.656901 0.0153278  -0.687674 0.12723    -0.704957 0.0568586  -0.21827 0.45712  1.02215 0.443825  -0.0592818 0.0655899    0.190312 0.0386643  0.876707 0.457788  0.0915428 0.0563264    0.242715 0.0570684  -0.679762 0.544593  0.872778 0.457798  0.0936624 0.0563504
MB+0_2_10 0 2 10    -0.201762 0.00664078  -0.150068 0.11344   0.216965 0.0881264    0.937091 0.0588445  -0.548233 0.482442  -0.0232249 0.0634672  -1.51141 0.0406726  0.19374 0.0611406    -1.1947 0.0164155  -4.44816 0.131086    0.937631 0.0588645  0.175219 0.473971  -0.543858 0.482639  -0.0167566 0.0658258    -1.51133 0.0406757  -0.630231 0.480306  0.192886 0.0613447    -1.5238 0.0608177  0.149614 0.542376  -0.63118 0.480317  0.193155 0.0613539
MB+0_2_11 0 2 11    -0.122016 0.00678745  -0.0644272 0.121644   0.0336308 0.0911529    0.299666 0.0609956  -0.230399 0.517357  -0.0706935 0.0654821  -0.98818 0.0421207  -0.0370627 0.063411    -0.50999 0.0168588  -2.74233 0.133413    0.299664 0.0609955  0.080806 0.499577  -0.235348 0.518205  -0.0691026 0.0660579    -0.990736 0.042216  0.212016 0.490304  -0.0373197 0.0634112    -0.967442 0.0629339  -0.277053 0.55414  0.218573 0.490472  -0.0377797 0.063417
MB+0_2_12 0 2 12    -0.0110239 0.00636688  -0.383911 0.115845   0.0110937 0.0847586    0.741099 0.0571952  1.62499 0.492717  -0.0623296 0.0615004  0.869677 0.0385244  -0.0512358 0.0583242    -0.00892655 0.0153895  -0.303193 0.124779    0.741404 0.0571977  0.313852 0.468994  1.63644 0.493053  -0.0699205 0.0625572    0.868283 0.0385348  0.921412 0.466115  -0.0455457 0.0584449    0.911829 0.0568799  -0.543328 0.522224  0.906563 0.46633  -0.0432177 0.0584878
