label wheel station sector db edb dai edai dphizsl2 edphizsl2 x_100011 ex_100011 phiy_100011 ephiy_100011 phiz_100011 ephiz_100011 y_010001 ey_010001 phiz_010001 ephiz_010001 phiy_000011 ephiy_000011 phiz_000011 ephiz_000011 x_100111 ex_100111 phix_100111 ephix_100111 phiy_100111 ephiy_100111 phiz_100111 ephiz_100111 y_010011 ey_010011 phiy_010011 ephiy_010011 phiz_010011 ephiz_010011 y_010111 ey_010111 phix_010111 ephix_010111 phiy_010111 ephiy_010111 phiz_010111 ephiz_010111
MB-2_1_12 -2 1 12    -0.0202459 0.00947205  0.158202 0.156147   -2.48365 0.153412    0.254775 0.0602565  -1.70901 0.601188  0.301703 0.0784378  1.074 0.0715467  -2.18195 0.131844    -0.575071 0.18333  -0.0701698 0.155296    0.24871 0.0604897  0.680467 0.596776  -1.84349 0.612605  0.353619 0.0906912    1.06438 0.0716215  0.949576 0.947502  1.00554 1.14363    1.09519 0.0728873  0.227791 0.100178  0.618408 0.958573  0.622238 1.15591
MB-1_1_01 -1 1 1    -0.000285842 0.00608128  -0.019011 0.0936755   -0.105169 0.0797505    0.47027 0.0402392  0.00368767 0.387795  -0.114859 0.0489756  0.423598 0.0350332  -0.220028 0.0629407    -0.073947 0.0607671  -0.120112 0.100449    0.466975 0.0402728  0.702124 0.365489  -0.0420826 0.388517  -0.0602879 0.0566322    0.423366 0.0350334  -0.500319 0.429264  -0.523834 0.2663    0.409882 0.0352377  0.322709 0.0912902  -0.656358 0.431492  -0.618968 0.267633
MB-1_1_02 -1 1 2    0.0127745 0.00579033  -0.380716 0.0874591   0.441128 0.0762083    -0.114297 0.0374226  0.506267 0.361648  0.0334954 0.0467087  -0.632789 0.0328255  0.474623 0.0602163    -1.25955 0.0579176  0.268011 0.0954878    -0.116214 0.0374537  0.440993 0.35564  0.473319 0.362607  0.0694226 0.0549969    -0.632058 0.0328246  -0.809341 0.422403  -0.320795 0.262388    -0.634785 0.0330354  0.0639046 0.0872331  -0.827109 0.423092  -0.331215 0.262768
MB-1_1_03 -1 1 3    0.212824 0.00748083  0.239762 0.0952913   0.126589 0.0895404    0.26457 0.0407401  0.401738 0.386936  -0.121707 0.0607582  0.648842 0.0363365  0.00488222 0.0657717    -1.18214 0.0795459  3.78267 0.123058    0.263448 0.0407772  0.285851 0.455134  0.385139 0.387805  -0.0985719 0.0711038    0.648803 0.0363364  0.373356 0.553684  -0.0136015 0.366607    0.638944 0.0363754  0.58981 0.10931  0.205852 0.554431  -0.123109 0.367087
MB-1_1_04 -1 1 4    -0.0410629 0.0054699  -0.190966 0.081699   0.258224 0.0720387    -0.0815078 0.0361457  0.659256 0.33771  -0.063057 0.0440868  -0.748056 0.0314176  0.195167 0.056973    0.315114 0.0540526  -0.815561 0.0900238    -0.0850919 0.0362143  0.527827 0.328788  0.602965 0.339522  -0.0173261 0.0524941    -0.747677 0.031418  0.0103996 0.391467  -0.192589 0.240765    -0.751281 0.0315  0.130984 0.0826801  -0.0149509 0.39179  -0.207218 0.24094
MB-1_1_05 -1 1 5    0.0169397 0.00540384  0.0385673 0.0801974   0.0333147 0.0711977    -0.263823 0.0354921  0.271666 0.331316  -0.250089 0.0436396  -0.471112 0.0310408  -0.216775 0.0562556    0.242295 0.0536839  0.0603581 0.0889005    -0.271236 0.0355389  1.28682 0.325253  0.156312 0.332573  -0.139534 0.0518154    -0.471138 0.0310408  0.409864 0.388556  -0.133696 0.240518    -0.480141 0.0311704  0.258801 0.0820256  0.340052 0.389166  -0.174987 0.240863
MB-1_1_06 -1 1 6    -0.00632968 0.00551621  -0.292561 0.0816758   1.48913 0.0723635    -1.20172 0.0362232  2.41671 0.337387  -0.432735 0.0444964  -0.642759 0.0315385  1.0564 0.0570662    1.24408 0.0547254  -0.54888 0.0909131    -1.20513 0.0362867  0.60617 0.332685  2.356 0.339089  -0.379612 0.0532191    -0.639805 0.0315321  -0.48261 0.394649  -0.68421 0.243706    -0.629538 0.0316374  -0.329099 0.0836838  -0.409175 0.395059  -0.643087 0.24391
MB-1_1_07 -1 1 7    0.00800041 0.00551146  0.0908213 0.0816373   -0.114045 0.072002    -1.26808 0.0362631  -1.57986 0.337163  -0.0183928 0.0443842  -0.221616 0.0313623  -0.132437 0.056695    -1.2849 0.0550288  0.128544 0.0909749    -1.27134 0.0363039  0.613041 0.331443  -1.63073 0.33825  0.0348685 0.0529398    -0.221813 0.0313615  -0.671103 0.391453  0.415778 0.242837    -0.234767 0.0315216  0.334538 0.0826339  -0.735913 0.391721  0.377534 0.242984
MB-1_1_08 -1 1 8    0.0122284 0.00557645  0.128591 0.0845576   -0.0572093 0.0724174    -0.362876 0.0371749  0.122753 0.349741  -0.144621 0.0450286  0.741918 0.0317295  -0.20183 0.056716    0.530148 0.0555577  0.0799234 0.091966    -0.362975 0.0372187  0.032461 0.332913  0.119835 0.351027  -0.14201 0.0521621    0.741755 0.0317302  0.40335 0.392308  -0.0330241 0.242735    0.728579 0.0318637  0.374768 0.0839366  0.285936 0.393146  -0.101554 0.243193
MB-1_1_09 -1 1 9    0.0677688 0.00577955  0.129416 0.0879457   -0.163822 0.0759199    0.47786 0.0384629  -0.230946 0.363936  -0.0376298 0.0466295  0.241607 0.0328579  -0.201452 0.0599126    -0.451253 0.057277  1.20036 0.0947246    0.475649 0.0385191  0.362967 0.352928  -0.255222 0.364662  -0.00709891 0.0553284    0.243156 0.0328642  0.711874 0.413353  0.366719 0.256231    0.227531 0.0330221  0.413877 0.086409  0.670172 0.413483  0.336463 0.256312
