label wheel station sector db edb dai edai dphizsl2 edphizsl2 x_100011 ex_100011 phiy_100011 ephiy_100011 phiz_100011 ephiz_100011 y_010001 ey_010001 phiz_010001 ephiz_010001 phiy_000011 ephiy_000011 phiz_000011 ephiz_000011 x_100111 ex_100111 phix_100111 ephix_100111 phiy_100111 ephiy_100111 phiz_100111 ephiz_100111 y_010011 ey_010011 phiy_010011 ephiy_010011 phiz_010011 ephiz_010011 y_010111 ey_010111 phix_010111 ephix_010111 phiy_010111 ephiy_010111 phiz_010111 ephiz_010111
MB+1_1_10 1 1 10    -0.00598231 0.00548925  -0.175455 0.0823   0.258067 0.0719708    0.470529 0.0359862  -0.131349 0.3402  -0.360302 0.0440215  -0.678045 0.0314236  -0.102234 0.0569377    -0.809693 0.0546685  -0.469881 0.0903992    0.473369 0.0360253  0.561153 0.328742  -0.0907351 0.341018  -0.405741 0.0514376    -0.67789 0.0314238  -0.54655 0.392489  -0.352565 0.24335    -0.689748 0.0315683  0.323408 0.0828758  -0.449831 0.393236  -0.293402 0.2438
MB+1_1_11 1 1 11    -0.0293076 0.0057043  -0.11709 0.0838928   0.144716 0.0749421    0.595636 0.0368004  0.675088 0.346371  -0.114965 0.0458466  -0.101694 0.0327815  0.0297517 0.0592824    0.511429 0.0568193  -0.651998 0.0939349    0.595757 0.036845  0.0423222 0.343502  0.67855 0.347583  -0.118569 0.0539275    -0.101829 0.0327807  -0.171032 0.407599  -0.479918 0.252588    -0.110976 0.0329345  0.247486 0.0864255  -0.0659191 0.40923  -0.416989 0.25353
MB+1_1_12 1 1 12    -0.0307806 0.00559274  -0.391782 0.0863901   1.10507 0.0740293    0.303493 0.0365331  1.99541 0.357721  -0.210395 0.0450673  -0.9293 0.032028  0.894673 0.0587306    0.679555 0.0557172  -0.775624 0.0922838    0.3046 0.0365812  0.202521 0.341083  2.01201 0.358812  -0.227201 0.0532023    -0.92858 0.0320249  0.191109 0.404179  -0.190073 0.249985    -0.941148 0.0321713  0.344071 0.0847051  0.327969 0.405545  -0.106693 0.250804
MB+2_1_01 2 1 1    0.04425 0.0139469  0.311045 0.21008   -1.17479 0.207314    -0.038877 0.0900682  -0.182838 0.792315  -0.500371 0.117408  -1.55666 0.100502  -1.67516 0.170863    0.132189 0.265233  0.313307 0.228005    -0.00998716 0.0907505  2.15238 0.829469  0.522195 0.83773  -0.627292 0.127182    -1.57126 0.101032  -2.01338 1.30032  -3.83134 1.54119    -1.46329 0.107164  0.455296 0.152472  -1.01877 1.3416  -2.71653 1.58554
MB+2_1_02 2 1 2    0.0243332 0.0142853  0.22726 0.20074   -1.24695 0.198372    0.477807 0.0922414  -0.606089 0.747963  0.556812 0.116031  1.9278 0.0915446  -0.690139 0.160898    -0.183299 0.261029  0.994409 0.229203    0.469188 0.0950846  -0.284631 0.766951  -0.695908 0.786223  0.584077 0.137288    1.92375 0.0917302  0.299586 1.30982  0.361216 1.52897    2.17781 0.104767  0.746978 0.14906  -0.33384 1.31523  -0.318644 1.53419
MB+2_1_03 2 1 3    0.0311243 0.0115676  0.123345 0.17281   -0.825121 0.174208    1.39703 0.0735014  -0.702499 0.651856  0.218138 0.0940673  1.82202 0.0788212  -0.606983 0.146628    -0.881284 0.21783  0.783799 0.188014    1.40868 0.0743273  0.7014 0.665  -0.550192 0.667642  0.15871 0.109653    1.81996 0.0788506  0.354601 1.10451  0.643255 1.31451    2.00486 0.0841723  0.738435 0.118135  0.428188 1.1039  0.757936 1.31384
MB+2_1_04 2 1 4    -0.0090991 0.0101198  0.037896 0.167919   -1.07497 0.164252    1.32687 0.0638214  -1.13596 0.646986  -0.214864 0.0832067  2.28747 0.0775373  -1.28984 0.141617    -0.768125 0.198008  -0.381311 0.165363    1.32892 0.0639799  0.291339 0.640823  -1.0913 0.654447  -0.234976 0.0942445    2.29096 0.0775827  0.153587 1.0035  0.272545 1.22407    2.31981 0.0778265  0.480832 0.107086  0.911299 1.0173  1.17117 1.23998
MB+2_1_05 2 1 5    -0.0278965 0.0322982  0.556528 0.485987   -2.39222 0.500238    1.38886 0.199273  -2.43176 1.8322  -0.278483 0.26246  0.0316686 0.226463  -2.6707 0.425855    0.567381 0.621426  -0.785755 0.525405    1.38185 0.20015  -0.736138 2.00437  -2.5357 1.85383  -0.211367 0.319579    0.0325821 0.226481  -3.47232 3.1792  -3.92599 3.85722    0.0697292 0.229515  0.321785 0.324367  -3.41014 3.17945  -3.84893 3.85755
MB+2_1_06 2 1 6    -0.0316946 0.00996734  -0.467672 0.159748   2.37822 0.156804    2.19798 0.0619728  1.66009 0.612566  -0.00424754 0.0815612  -1.38767 0.0721272  2.37397 0.133923    0.386864 0.189843  -0.5816 0.162216    2.19243 0.0623656  -0.479192 0.61157  1.55301 0.627373  0.0327148 0.0942062    -1.39452 0.0721293  -2.54263 0.991667  -2.64031 1.19071    -1.31607 0.0750804  0.398766 0.106166  -2.00602 1.00174  -2.01444 1.20211
MB+2_1_07 2 1 7    -0.0523861 0.00954078  -0.365884 0.153928   0.940352 0.154729    3.09338 0.0606275  1.02189 0.590434  -0.00875863 0.0789361  -1.0745 0.0709075  0.931593 0.133079    0.652343 0.183471  -0.966657 0.155577    3.10892 0.0609084  1.61276 0.60965  1.37589 0.605406  -0.138702 0.0929673    -1.08017 0.0709835  -0.643958 0.974539  -1.06223 1.17395    -1.0118 0.0721633  0.52691 0.10098  -0.169465 0.978453  -0.532518 1.17795
MB+2_1_08 2 1 8    -0.00228181 0.00981896  -0.282426 0.158476   -0.328538 0.157722    1.76785 0.0609784  -0.464674 0.607778  0.122831 0.0796212  -0.415552 0.0722035  -0.205707 0.136149    -1.61479 0.189441  0.0811792 0.160579    1.78582 0.0614305  1.4724 0.612164  -0.259036 0.61373  0.0102923 0.092349    -0.412185 0.0722858  -1.43716 1.00639  -1.36799 1.21048    -0.396018 0.0736627  0.117003 0.102545  -1.3564 1.00886  -1.26326 1.21393
MB+2_1_09 2 1 9    -0.00443794 0.0106491  -0.362928 0.16245   1.1639 0.1551    1.71183 0.0683339  0.794266 0.615907  -0.151679 0.0863417  -0.976454 0.0730969  1.01223 0.128845    -0.649828 0.201536  -0.232431 0.17347    1.71541 0.0688123  0.273742 0.606052  0.850591 0.628954  -0.171603 0.0970057    -0.976963 0.073098  -0.16446 0.963054  -0.12777 1.15267    -0.904889 0.0773812  0.310459 0.109376  0.180596 0.970592  0.277671 1.16136
MB+2_1_10 2 1 10    0.0237879 0.00956888  -0.405228 0.163947   1.7278 0.152643    1.57365 0.0586887  1.35951 0.637262  -0.0261121 0.078521  -0.512077 0.0701139  1.70169 0.130898    -0.902881 0.183772  0.40659 0.15534    1.56526 0.0589221  -0.955462 0.6019  1.14164 0.65183  0.0295506 0.0859811    -0.513955 0.0702391  0.9349 0.95004  1.19491 1.14143    -0.48606 0.0723935  0.162634 0.101858  1.35408 0.985658  1.68267 1.18161
MB+2_1_11 2 1 11    -0.00648771 0.0103133  -0.530305 0.159085   2.23269 0.158333    1.46506 0.0628558  1.7197 0.604657  0.0933379 0.0842362  -1.15503 0.0717327  2.32603 0.134066    -0.390345 0.195894  -0.0245634 0.167428    1.48411 0.0634456  1.37321 0.624147  2.00426 0.618303  -0.0166457 0.0979464    -1.15193 0.071734  -1.15657 1.02251  -1.08943 1.22157    -1.07313 0.0746797  0.404413 0.107056  -0.754738 1.02644  -0.602502 1.22638
MB+2_1_12 2 1 12    0.00616628 0.0100729  -0.414676 0.164673   2.31681 0.15698    0.87441 0.0613886  2.44054 0.634242  -0.15655 0.0823379  -0.197652 0.0713234  2.16026 0.133653    0.536569 0.192151  -0.0442209 0.163984    0.877915 0.0616622  0.373522 0.617525  2.50207 0.642358  -0.183392 0.093544    -0.197937 0.0713123  -1.12067 0.992927  -2.08568 1.19136    -0.110837 0.0740951  0.458867 0.106293  -0.338698 1.0091  -1.15733 1.21035
MB-2_2_01 -2 2 1    -0.0465751 0.0104589  -0.198673 0.188431   -0.19805 0.172    0.601092 0.0836853  0.0965544 0.738954  0.330469 0.105687  2.18172 0.0826006  0.132419 0.135699    0.308085 0.201375  -0.684236 0.201869    0.610678 0.0841143  0.957546 0.84966  0.218716 0.746819  0.277449 0.115682    2.18174 0.0825936  -3.07339 1.20021  -3.06465 1.21808    2.25143 0.0839721  0.654982 0.143442  -3.69251 1.20756  -3.68755 1.2254
MB-2_2_02 -2 2 2    -0.0948265 0.0106089  -0.25425 0.179855   -0.212866 0.159301    0.28467 0.0898445  -0.19584 0.698359  0.333305 0.10633  2.90007 0.0810469  0.120439 0.118621    0.865326 0.201385  -1.72222 0.203908    0.289851 0.0900029  0.732005 0.739367  -0.149132 0.699982  0.300943 0.111273    2.90036 0.0810475  -0.949851 1.04863  -0.639025 1.06287    3.01173 0.083874  0.739765 0.144032  -0.896153 1.04836  -0.579442 1.0626
MB-2_2_03 -2 2 3    0.0242712 0.0102717  0.0845914 0.184193   -1.16844 0.16113    0.100149 0.0851336  -1.15252 0.722725  0.0981624 0.102833  1.90272 0.0812985  -1.07027 0.124049    -1.34019 0.195699  0.621411 0.196118    0.104172 0.0851932  0.987835 0.750394  -1.11118 0.723432  0.0632063 0.106237    1.90361 0.0812949  -3.59133 1.0901  -3.53641 1.10927    2.02533 0.0831801  0.969747 0.14186  -3.06973 1.0922  -3.00448 1.11142
MB-2_2_04 -2 2 4    0.213374 0.0100581  0.304198 0.171034   -0.145319 0.156172    0.0829248 0.0823899  -0.0445122 0.663984  -0.216253 0.100866  1.1025 0.0798574  -0.361572 0.119231    -3.57499 0.192607  4.39978 0.192802    0.086599 0.0825211  0.5918 0.732602  -0.00367787 0.665962  -0.23527 0.103595    1.1025 0.0798567  -0.993966 1.04934  -1.3226 1.06879    1.16769 0.0813132  0.585881 0.138452  -0.642519 1.05241  -0.966418 1.0719
MB-2_2_05 -2 2 5    -0.0280103 0.00985073  -0.287152 0.173159   1.45215 0.15281    0.250723 0.0826001  1.66436 0.676134  -0.335182 0.0983507  0.394798 0.0786925  1.11696 0.116953    1.0768 0.189783  -0.942593 0.189628    0.24801 0.082646  -0.682587 0.711562  1.64123 0.676538  -0.313688 0.10091    0.395704 0.0786929  0.136635 1.02471  -0.434641 1.04729    0.489106 0.0797397  0.963539 0.135514  0.576717 1.02602  0.0194652 1.04867
MB-2_2_06 -2 2 6    -0.00398705 0.00984445  0.636341 0.174414   -1.83143 0.153191    -0.876704 0.082333  -1.77449 0.68246  -0.430604 0.0987515  -0.861294 0.0774651  -2.26203 0.117114    1.02347 0.188608  -0.516839 0.188638    -0.871036 0.0823952  1.25306 0.723448  -1.72999 0.682918  -0.471947 0.101589    -0.861547 0.0774746  -1.56138 1.0248  -2.04597 1.04554    -0.818141 0.07876  0.407835 0.133545  -1.42278 1.0257  -1.89914 1.04654
MB-2_2_07 -2 2 7    0.119056 0.00966313  0.0294826 0.169675   0.624726 0.151627    -1.68923 0.0813052  -0.616193 0.662065  -0.160461 0.0967585  1.76941 0.0784089  0.464264 0.116741    -3.18922 0.18712  2.42667 0.186361    -1.6879 0.0813459  0.362828 0.70821  -0.602368 0.66261  -0.172771 0.0996944    1.76957 0.0784035  -3.05676 1.00761  -2.02251 1.03327    1.84336 0.0789366  1.02284 0.132543  -2.67567 1.00819  -1.63314 1.03386
MB-2_2_08 -2 2 8    0.126802 0.00951106  -0.233817 0.167065   2.9741 0.147933    -0.0479102 0.0802545  3.51293 0.65219  -0.307894 0.0953925  2.33016 0.0760371  2.66621 0.113068    -0.352224 0.183573  2.44477 0.183111    -0.0509899 0.0803556  -0.528312 0.696264  3.49084 0.652825  -0.285911 0.0996889    2.33551 0.0760498  0.482277 0.986694  -0.415149 1.00955    2.40736 0.0766142  0.965686 0.129342  0.624088 0.986329  -0.249139 1.00924
MB-2_2_09 -2 2 9    0.184021 0.0110944  -0.117571 0.18617   1.43033 0.166495    0.49536 0.0938844  1.66632 0.720774  -0.246152 0.111249  2.0183 0.0845065  1.18417 0.123872    -3.01347 0.211166  3.75634 0.21413    0.485981 0.0940968  -1.12977 0.767706  1.58287 0.72295  -0.197562 0.116037    2.02037 0.0845303  0.545359 1.11176  0.0615324 1.12029    2.13032 0.0880537  0.667826 0.150229  0.571476 1.11149  0.10062 1.12004
MB-2_2_10 -2 2 10    0.0147565 0.0129018  0.0817431 0.212735   -1.14696 0.194237    0.5645 0.10441  -0.483875 0.820336  -0.0876132 0.129542  -0.331777 0.093335  -1.23457 0.144731    -0.473534 0.243846  0.235383 0.250935    0.562143 0.105033  -0.180527 0.884368  -0.512534 0.831842  -0.0801792 0.134673    -0.331417 0.0933303  -3.01803 1.37495  -3.731 1.36225    -0.229103 0.103675  0.402736 0.17776  -3.04106 1.37487  -3.75357 1.36217
MB-2_2_11 -2 2 11    -0.157298 0.0130987  -0.683769 0.221821   2.58898 0.196683    1.20649 0.108117  3.17753 0.860668  -0.0483115 0.131967  2.14319 0.0979254  2.54067 0.145838    3.85039 0.247457  -3.4778 0.253266    1.19679 0.108204  -1.91101 0.887839  3.08429 0.861657  -0.0173684 0.132762    2.14628 0.0978841  -0.887894 1.3386  -1.48534 1.33362    2.28859 0.106219  0.630107 0.182822  -0.0806887 1.35869  -0.680469 1.35366
MB-2_2_12 -2 2 12    0.0231866 0.0104396  0.191725 0.20325   -1.58279 0.168549    0.793309 0.0871215  -1.49953 0.807293  0.181768 0.104868  1.78343 0.083291  -1.40103 0.131952    -1.20975 0.200531  0.686834 0.201777    0.793508 0.0871512  0.0817649 0.788356  -1.49599 0.808278  0.179933 0.106207    1.78375 0.0832873  -1.35435 1.15266  -1.25575 1.16055    1.86676 0.0855454  0.605996 0.143076  -0.627492 1.16512  -0.541865 1.17248
MB-1_2_01 -1 2 1    -0.0641438 0.00662463  -0.242992 0.122757   -0.226793 0.0958894    0.653483 0.0595864  -0.631176 0.512631  -0.140328 0.0662518  0.644706 0.0455415  -0.36712 0.0693215    -0.93392 0.0661491  -1.53993 0.128471    0.653597 0.0595986  0.0433732 0.504987  -0.629432 0.512908  -0.141887 0.0688106    0.644409 0.0455418  -1.17713 0.56423  -0.645268 0.295661    0.60303 0.0459349  0.95097 0.140272  -1.03371 0.564459  -0.573864 0.29576
MB-1_2_02 -1 2 2    -0.21608 0.00665994  -0.71649 0.117542   0.451172 0.0938273    0.259822 0.0603401  1.34685 0.489912  0.0656174 0.0663864  0.0798141 0.0450171  0.516789 0.0663053    0.763927 0.0662475  -4.64626 0.129166    0.263405 0.0603638  1.01432 0.492727  1.38857 0.490318  0.0242437 0.0693617    0.0795417 0.0450131  -0.648007 0.540466  -0.496919 0.282488    0.0341361 0.045284  1.20363 0.138177  -0.555892 0.540481  -0.449371 0.282458
MB-1_2_03 -1 2 3    0.0894203 0.00862394  0.353585 0.1246   -0.760625 0.113851    -0.130789 0.0634476  -0.457165 0.511437  0.420824 0.0864493  1.41825 0.049966  -0.339801 0.0740846    -0.0477077 0.0916572  2.36902 0.16682    -0.128252 0.0634697  0.93624 0.64119  -0.429175 0.511785  0.381097 0.0906328    1.41826 0.0499655  0.310512 0.734012  0.0829623 0.410966    1.38404 0.050063  1.64751 0.17502  0.419273 0.733604  0.143623 0.410737
MB-1_2_04 -1 2 4    0.00896911 0.00656507  0.217583 0.124548   -0.623647 0.096608    -0.182566 0.0643569  -0.902063 0.520395  -0.250231 0.0653286  0.125929 0.0484614  -0.873878 0.0711708    -0.0785663 0.0668081  -0.054866 0.127205    -0.180956 0.0643564  1.27007 0.482984  -0.87541 0.520466  -0.301588 0.0681818    0.127009 0.048458  0.949351 0.535022  0.087446 0.28677    0.0549838 0.0495976  0.946273 0.139928  1.01223 0.534919  0.117624 0.286706
MB-1_2_05 -1 2 5    0.168884 0.00624225  0.0395814 0.117041   0.473337 0.0903271    -0.699427 0.0563636  1.50727 0.489003  -0.23588 0.0622836  0.157955 0.0428764  0.237457 0.0654197    -0.24823 0.0622057  3.44723 0.121051    -0.696432 0.0563717  1.28273 0.47408  1.54157 0.489143  -0.276924 0.0641021    0.157892 0.0428764  1.1352 0.525578  0.04897 0.274273    0.130929 0.0432141  0.651336 0.131258  1.29631 0.526498  0.13102 0.274729
MB-1_2_06 -1 2 6    -0.0698675 0.00656419  0.218855 0.113691   -0.0231845 0.0938232    -1.44083 0.0576661  0.194072 0.473401  -0.21223 0.0655946  0.349429 0.0445922  -0.235414 0.0670831    1.92278 0.0658173  -1.73676 0.12733    -1.43981 0.0576758  0.413487 0.494648  0.204331 0.473527  -0.228193 0.0683042    0.34928 0.0445919  0.871151 0.550431  0.111955 0.290316    0.335257 0.0450663  0.294937 0.137213  0.878248 0.550425  0.116274 0.290314
MB-1_2_07 -1 2 7    -0.0809024 0.00636009  -0.270639 0.115834   0.528085 0.0917179    -2.45343 0.0568022  1.16964 0.483374  -0.0354687 0.0632982  -0.334433 0.0435813  0.492617 0.066374    0.941051 0.0635907  -1.80161 0.123576    -2.45425 0.0568144  -0.337123 0.481708  1.15902 0.483611  -0.0221455 0.0661041    -0.334669 0.0435797  -0.153122 0.537017  -0.181141 0.281468    -0.359488 0.0439504  0.580241 0.133997  -0.118567 0.537015  -0.163908 0.281464
MB-1_2_08 -1 2 8    -0.0425671 0.00639221  -0.0904752 0.112135   0.262054 0.0913293    -0.89912 0.0562292  0.904824 0.467255  -0.166675 0.0641637  0.705467 0.0430366  0.0953784 0.0649928    1.00649 0.0634332  -1.09545 0.123837    -0.899687 0.056247  -0.188141 0.482969  0.898713 0.467534  -0.159048 0.0669451    0.705398 0.0430357  -0.0936613 0.533825  -0.411354 0.278561    0.659834 0.0432292  1.40258 0.134613  0.111635 0.533836  -0.306982 0.278557
MB-1_2_09 -1 2 9    0.0976228 0.00693963  0.040911 0.115807   0.337196 0.0968211    -0.31322 0.0612426  0.643556 0.481441  0.050607 0.0690577  0.308957 0.0466038  0.387803 0.0678628    -0.295476 0.069292  2.17225 0.13408    -0.31166 0.0612615  0.474068 0.504707  0.660546 0.481744  0.0301025 0.0724271    0.308872 0.046603  -0.371604 0.55842  -0.133845 0.294867    0.278159 0.0470392  0.690097 0.144819  -0.331599 0.558392  -0.114077 0.294848
MB-1_2_10 -1 2 10    0.196935 0.00678837  0.0337068 0.117723   0.247533 0.0960799    0.125304 0.0603763  0.864487 0.490336  0.057362 0.0673552  0.70647 0.0457965  0.304895 0.0685173    -1.2312 0.06756  4.33469 0.131156    0.127632 0.0603866  1.00226 0.501276  0.874163 0.490347  0.0141881 0.0707386    0.707577 0.0458034  0.125257 0.555168  -0.0725459 0.291495    0.682162 0.0461978  0.588627 0.140454  0.0883899 0.555169  -0.0862806 0.291478
MB-1_2_11 -1 2 11    0.188849 0.00701408  -0.0230659 0.118734   0.335912 0.0987255    0.623704 0.0613978  0.926894 0.493982  -0.11982 0.0694997  0.290162 0.0474019  0.216092 0.0701178    -1.31931 0.0699813  3.98232 0.135583    0.626001 0.0614115  0.895166 0.514598  0.94734 0.494114  -0.148548 0.0714341    0.290306 0.047402  0.557947 0.570271  0.0274668 0.299824    0.267097 0.0478497  0.51562 0.146005  0.662526 0.570988  0.0831867 0.300211
MB-1_2_12 -1 2 12    0.0121161 0.0066225  -0.406752 0.124666   0.945138 0.0965285    1.03613 0.0584044  1.01962 0.520937  -0.18455 0.0658954  2.05497 0.0449118  0.760587 0.0705375    -0.849451 0.0658849  0.0799415 0.128677    1.03665 0.0584187  0.212338 0.513474  1.02722 0.521328  -0.191797 0.0681576    2.05425 0.0449109  -0.329617 0.575174  0.0775424 0.299552    2.0351 0.0451572  0.559036 0.138607  -0.247021 0.575471  0.117783 0.299684
MB+0_2_01 0 2 1    -0.395993 0.00907052  -0.319431 0.144166   -0.523347 0.116251    0.923516 0.081486  -0.22376 0.613023  0.137277 0.0867501  -0.0368313 0.0528267  -0.38607 0.0773869    -1.60061 0.0234294  -8.57158 0.179633    0.930316 0.0817505  0.620162 0.599847  -0.116816 0.621692  0.10902 0.090955    -0.0390592 0.0528656  -0.918193 0.639528  -0.347673 0.0850834    0.179296 0.0833671  -2.41504 0.713039  -1.00851 0.640002  -0.336652 0.0851345
MB+0_2_02 0 2 2    -0.118604 0.00720268  -0.161826 0.117391   -0.13701 0.0951467    0.616376 0.0660175  -0.056829 0.499213  0.259346 0.0697675  -0.645933 0.0448062  0.122336 0.0646945    -0.746792 0.0179344  -2.36264 0.143132    0.617658 0.0660492  -0.320456 0.512426  -0.0608359 0.499249  0.243961 0.07398    -0.644192 0.0448932  0.271239 0.513305  0.117375 0.0651617    -0.660113 0.0674022  0.18908 0.596488  0.276984 0.513622  0.117951 0.0651929
MB+0_2_03 0 2 3    0.220915 0.00639946  -0.0780847 0.112565   -0.332942 0.0855631    0.616638 0.0552346  1.27429 0.478747  0.168405 0.0612936  -1.6167 0.0393942  -0.164537 0.0597004    0.947166 0.0155866  4.98813 0.125444    0.617593 0.055235  -0.982272 0.474043  1.32175 0.479286  0.147965 0.0620788    -1.61326 0.0394161  0.0917374 0.467911  -0.157348 0.0597656    -1.63925 0.0577823  0.32136 0.522134  0.0914026 0.46791  -0.156133 0.059797
MB+0_2_04 0 2 4    -0.287591 0.0062096  -0.172451 0.102549   0.100638 0.0816513    -0.646815 0.0537196  -0.446449 0.43612  0.0399385 0.0593677  -1.53129 0.0372791  0.140576 0.0560571    -1.18861 0.0150028  -6.22534 0.121555    -0.647192 0.0537208  0.40335 0.450146  -0.453694 0.436191  0.0230712 0.0622767    -1.53181 0.0372795  0.372058 0.447243  0.142714 0.0560682    -1.51 0.0552626  -0.271009 0.506771  0.376853 0.447333  0.143542 0.0560896
MB+0_2_05 0 2 5    -0.0291395 0.00607861  0.0262252 0.10566   0.311529 0.0812152    -1.4399 0.0532537  0.143978 0.449371  -0.234238 0.0584494  -0.462606 0.0368461  0.0772915 0.0563876    0.25474 0.0148358  -0.869638 0.118964    -1.43972 0.0532539  -0.37191 0.452841  0.151758 0.449458  -0.221137 0.0605727    -0.462468 0.0368505  0.0296171 0.447013  0.0770582 0.0563928    -0.479949 0.0548265  0.213103 0.49488  0.0235534 0.447202  0.0764495 0.0564166
MB+0_2_06 0 2 6    0.176574 0.00590639  0.0813665 0.101285   0.13474 0.0779196    3.19852 0.0522729  -0.0386203 0.430762  -0.0871121 0.0568264  0.15316 0.0357626  0.0476278 0.0533126    0.311072 0.0142902  3.76838 0.115772    3.19851 0.0522731  -0.0186056 0.427913  -0.0387555 0.430776  -0.0877653 0.058486    0.153011 0.0357631  -0.321249 0.424787  0.0469891 0.0533214    0.244644 0.0531994  -1.13722 0.489103  -0.318597 0.424776  0.0457955 0.0533224
MB+0_2_07 0 2 7    -0.118199 0.00604702  -0.0360448 0.104927   -0.0961007 0.0802188    2.97638 0.0538853  -0.134699 0.446256  0.161263 0.0583348  -0.503382 0.0367071  0.0651621 0.0550645    -0.292291 0.0147067  -2.42251 0.118616    2.97626 0.0538858  -0.151699 0.441822  -0.134734 0.446256  0.155538 0.0606517    -0.504421 0.0367064  1.23973 0.435751  0.0669836 0.0550644    -0.589004 0.0540097  1.03922 0.486829  1.23472 0.435746  0.0683769 0.0550668
MB+0_2_08 0 2 8    0.184597 0.00576471  -0.0721509 0.0999807   0.236932 0.0773844    -1.37514 0.0515145  1.88823 0.42521  -0.122841 0.0554571  0.470476 0.0359072  0.114091 0.0539709    1.576 0.0142715  3.9083 0.113013    -1.37514 0.0515136  0.725549 0.419061  1.88944 0.425203  -0.152717 0.0580782    0.470116 0.0359057  0.639323 0.419391  0.115417 0.05397    0.496204 0.0540999  -0.308228 0.479397  0.637467 0.419403  0.115772 0.053973
MB+0_2_09 0 2 9    -0.0281284 0.00649315  -0.0936462 0.104374   0.153091 0.0841454    -0.703949 0.0568491  1.05464 0.443881  -0.0613616 0.0625902  0.185269 0.0386666  0.0917293 0.0562398    0.657189 0.0153263  -0.675477 0.127197    -0.704482 0.0568603  -0.213035 0.457009  1.04978 0.444014  -0.0522564 0.0655546    0.185356 0.0386668  0.911263 0.457621  0.0926469 0.0563239    0.242098 0.0570699  -0.735881 0.54445  0.907166 0.457629  0.0949471 0.0563482
MB+0_2_10 0 2 10    -0.202233 0.00664378  -0.137347 0.113411   0.224818 0.0881384    0.941802 0.0588672  -0.603906 0.482319  -0.0249219 0.0634942  -1.50783 0.0406632  0.199896 0.0611299    -1.19626 0.0164242  -4.45958 0.131124    0.942095 0.0588877  0.0992825 0.474167  -0.601777 0.482515  -0.0212399 0.0658745    -1.50778 0.0406666  -0.642639 0.480173  0.199496 0.0613302    -1.52509 0.060806  0.207522 0.542064  -0.644024 0.480184  0.199867 0.061339
MB+0_2_11 0 2 11    -0.121697 0.00678738  -0.0476891 0.121595   0.0333547 0.0911522    0.287712 0.0609698  -0.300286 0.517152  -0.0732642 0.0654793  -0.984697 0.0421155  -0.0399095 0.0634128    -0.508692 0.0168558  -2.73796 0.133416    0.287721 0.0609698  0.152284 0.49963  -0.309163 0.517963  -0.0705658 0.0660594    -0.987693 0.0422078  0.226726 0.490593  -0.0400983 0.0634125    -0.969159 0.0629212  -0.220594 0.554168  0.231941 0.490759  -0.0404584 0.063418
MB+0_2_12 0 2 12    -0.0113206 0.00636415  -0.381322 0.115724   0.0179791 0.0847564    0.731783 0.0571582  1.61484 0.492201  -0.0592774 0.0614887  0.872199 0.0385229  -0.0412983 0.0583334    -0.00805937 0.0153791  -0.306619 0.124715    0.73205 0.0571609  0.260181 0.468843  1.62427 0.492533  -0.0656441 0.0625573    0.870794 0.0385332  0.899202 0.466299  -0.0355702 0.0584517    0.914143 0.0568742  -0.541011 0.52229  0.884427 0.466513  -0.0332683 0.0584941
MB+1_2_01 1 2 1    0.202556 0.00691072  -0.126494 0.1192   -0.441989 0.0976409    0.764313 0.0601771  -0.903288 0.496483  0.124088 0.0687201  0.811631 0.0460937  -0.317901 0.0693634    -3.74358 0.0679763  4.52474 0.133489    0.762068 0.0602115  0.554379 0.51381  -0.92803 0.496998  0.148124 0.0722363    0.81165 0.0460936  -0.521739 0.574805  -0.125402 0.29806    0.791237 0.0462492  0.76835 0.146594  -0.516319 0.574699  -0.124371 0.298005
MB+1_2_02 1 2 2    -0.0558005 0.00713195  -0.344179 0.120116   -0.0453606 0.0998872    0.638741 0.064405  0.390876 0.499909  0.160581 0.0714287  1.12332 0.0477369  0.115221 0.069824    -0.439879 0.0691612  -1.04877 0.137075    0.629212 0.0644908  1.44938 0.517148  0.313054 0.500644  0.237178 0.0764808    1.12189 0.0477434  -0.574216 0.571465  -0.367613 0.294331    1.11522 0.0477897  0.464183 0.151591  -0.46901 0.572454  -0.319456 0.29473
MB+1_2_03 1 2 3    -0.184642 0.00702924  -0.112787 0.127183   -0.174873 0.100641    0.776037 0.0619459  -0.340711 0.530494  0.0512762 0.0701741  1.78942 0.0481575  -0.123597 0.0721405    1.28718 0.0709849  -3.96837 0.135987    0.774824 0.0619496  0.811947 0.532534  -0.374777 0.530936  0.0724751 0.0715424    1.78637 0.0481725  1.05453 0.584059  0.595424 0.309464    1.74377 0.0488328  0.782015 0.148072  0.610082 0.589977  0.376118 0.312174
MB+1_2_04 1 2 4    -0.219998 0.00865801  -0.278974 0.126046   -0.136441 0.11384    1.50189 0.0639172  0.113211 0.517651  0.421576 0.0869213  1.75346 0.0495315  0.285135 0.0735136    1.62124 0.0920542  -4.37308 0.167481    1.50127 0.0639308  0.288127 0.645719  0.106105 0.517884  0.433052 0.0906805    1.75359 0.049531  -0.814993 0.72924  -0.226322 0.408496    1.73144 0.0496634  1.06081 0.174126  -0.879083 0.729392  -0.260846 0.408386
